xflr5 v6.47
NACA 0012
T1_Re0.100_M0.00_N9.0
Alpha =   5.0,  Re =   100000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 1.0000    0.418     0.000     0.763     0.000
 0.9928    0.241     0.000     0.871     0.000
 0.9799    0.171     0.000     0.911     0.000
 0.9635    0.114     0.000     0.941     0.000
 0.9445    0.069     0.000     0.965     0.000
 0.9235    0.029     0.000     0.985     0.000
 0.9007   -0.006     0.000     1.003     0.000
 0.8766   -0.039     0.000     1.019     0.000
 0.8512   -0.070     0.000     1.034     0.000
 0.8249   -0.099     0.000     1.048     0.000
 0.7977   -0.127     0.000     1.062     0.000
 0.7699   -0.155     0.000     1.075     0.000
 0.7415   -0.182     0.000     1.087     0.000
 0.7127   -0.209     0.000     1.100     0.000
 0.6836   -0.236     0.000     1.112     0.000
 0.6543   -0.264     0.000     1.124     0.000
 0.6249   -0.292     0.000     1.137     0.000
 0.5955   -0.321     0.000     1.149     0.000
 0.5661   -0.350     0.000     1.162     0.000
 0.5368   -0.380     0.000     1.175     0.000
 0.5077   -0.411     0.000     1.188     0.000
 0.4789   -0.443     0.000     1.201     0.000
 0.4505   -0.476     0.000     1.215     0.000
 0.4225   -0.510     0.000     1.229     0.000
 0.3949   -0.545     0.000     1.243     0.000
 0.3678   -0.582     0.000     1.258     0.000
 0.3413   -0.619     0.000     1.272     0.000
 0.3155   -0.658     0.000     1.288     0.000
 0.2904   -0.699     0.000     1.303     0.000
 0.2659   -0.741     0.000     1.319     0.000
 0.2423   -0.784     0.000     1.336     0.000
 0.2195   -0.830     0.000     1.353     0.000
 0.1976   -0.878     0.000     1.370     0.000
 0.1766   -0.928     0.000     1.389     0.000
 0.1566   -0.982     0.000     1.408     0.000
 0.1376   -1.039     0.000     1.428     0.000
 0.1197   -1.101     0.000     1.449     0.000
 0.1028   -1.168     0.000     1.472     0.000
 0.0871   -1.242     0.000     1.497     0.000
 0.0726   -1.324     0.000     1.525     0.000
 0.0592   -1.417     0.000     1.555     0.000
 0.0472   -1.522     0.000     1.588     0.000
 0.0364   -1.640     0.000     1.625     0.000
 0.0269   -1.772     0.000     1.665     0.000
 0.0188   -1.910     0.000     1.706     0.000
 0.0121   -2.034     0.000     1.742     0.000
 0.0069   -2.085     0.000     1.756     0.000
 0.0031   -1.929     0.000     1.711     0.000
 0.0008   -1.365     0.000     1.538     0.000
 0.0000   -0.410     0.000     1.187     0.000
 0.0008    0.454     0.000     0.739     0.000
 0.0031    0.905     0.000     0.308     0.000
 0.0069    0.999     0.000    -0.029     0.000
 0.0121    0.927     0.000    -0.271     0.000
 0.0188    0.804     0.000    -0.443     0.000
 0.0269    0.677     0.000    -0.568     0.000
 0.0364    0.563     0.000    -0.661     0.000
 0.0472    0.464     0.000    -0.732     0.000
 0.0592    0.380     0.000    -0.787     0.000
 0.0726    0.309     0.000    -0.831     0.000
 0.0871    0.248     0.000    -0.867     0.000
 0.1028    0.198     0.000    -0.896     0.000
 0.1197    0.154     0.000    -0.920     0.000
 0.1376    0.118     0.000    -0.939     0.000
 0.1566    0.087     0.000    -0.955     0.000
 0.1766    0.062     0.000    -0.969     0.000
 0.1976    0.040     0.000    -0.980     0.000
 0.2195    0.023     0.000    -0.989     0.000
 0.2423    0.009     0.000    -0.996     0.000
 0.2659   -0.003     0.000    -1.001     0.000
 0.2904   -0.011     0.000    -1.006     0.000
 0.3155   -0.018     0.000    -1.009     0.000
 0.3413   -0.022     0.000    -1.011     0.000
 0.3678   -0.025     0.000    -1.012     0.000
 0.3949   -0.026     0.000    -1.013     0.000
 0.4225   -0.026     0.000    -1.013     0.000
 0.4505   -0.025     0.000    -1.012     0.000
 0.4789   -0.023     0.000    -1.011     0.000
 0.5077   -0.020     0.000    -1.010     0.000
 0.5368   -0.016     0.000    -1.008     0.000
 0.5661   -0.012     0.000    -1.006     0.000
 0.5955   -0.007     0.000    -1.003     0.000
 0.6249   -0.001     0.000    -1.001     0.000
 0.6543    0.004     0.000    -0.998     0.000
 0.6836    0.011     0.000    -0.995     0.000
 0.7127    0.018     0.000    -0.991     0.000
 0.7415    0.026     0.000    -0.987     0.000
 0.7699    0.034     0.000    -0.983     0.000
 0.7977    0.044     0.000    -0.978     0.000
 0.8249    0.054     0.000    -0.973     0.000
 0.8512    0.066     0.000    -0.966     0.000
 0.8766    0.080     0.000    -0.959     0.000
 0.9007    0.096     0.000    -0.951     0.000
 0.9235    0.115     0.000    -0.941     0.000
 0.9445    0.138     0.000    -0.928     0.000
 0.9635    0.168     0.000    -0.912     0.000
 0.9799    0.208     0.000    -0.890     0.000
 0.9928    0.263     0.000    -0.859     0.000
 1.0000    0.418     0.000    -0.763     0.000


