xflr5 v6.47
NACA 0012
T1_Re0.100_M0.00_N9.0
Alpha =   0.0,  Re =   100000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 1.0000    0.413     0.000     0.766     0.000
 0.9928    0.246     0.000     0.868     0.000
 0.9799    0.183     0.000     0.904     0.000
 0.9635    0.135     0.000     0.930     0.000
 0.9445    0.097     0.000     0.950     0.000
 0.9235    0.065     0.000     0.967     0.000
 0.9007    0.038     0.000     0.981     0.000
 0.8766    0.014     0.000     0.993     0.000
 0.8512   -0.008     0.000     1.004     0.000
 0.8249   -0.029     0.000     1.014     0.000
 0.7977   -0.048     0.000     1.024     0.000
 0.7699   -0.066     0.000     1.033     0.000
 0.7415   -0.084     0.000     1.041     0.000
 0.7127   -0.101     0.000     1.049     0.000
 0.6836   -0.118     0.000     1.057     0.000
 0.6543   -0.134     0.000     1.065     0.000
 0.6249   -0.151     0.000     1.073     0.000
 0.5955   -0.167     0.000     1.080     0.000
 0.5661   -0.184     0.000     1.088     0.000
 0.5368   -0.200     0.000     1.096     0.000
 0.5077   -0.217     0.000     1.103     0.000
 0.4789   -0.233     0.000     1.110     0.000
 0.4505   -0.250     0.000     1.118     0.000
 0.4225   -0.266     0.000     1.125     0.000
 0.3949   -0.282     0.000     1.132     0.000
 0.3678   -0.298     0.000     1.139     0.000
 0.3413   -0.314     0.000     1.146     0.000
 0.3155   -0.329     0.000     1.153     0.000
 0.2904   -0.343     0.000     1.159     0.000
 0.2659   -0.357     0.000     1.165     0.000
 0.2423   -0.369     0.000     1.170     0.000
 0.2195   -0.381     0.000     1.175     0.000
 0.1976   -0.391     0.000     1.179     0.000
 0.1766   -0.400     0.000     1.183     0.000
 0.1566   -0.407     0.000     1.186     0.000
 0.1376   -0.411     0.000     1.188     0.000
 0.1197   -0.414     0.000     1.189     0.000
 0.1028   -0.413     0.000     1.189     0.000
 0.0871   -0.408     0.000     1.187     0.000
 0.0726   -0.398     0.000     1.183     0.000
 0.0592   -0.382     0.000     1.176     0.000
 0.0472   -0.356     0.000     1.165     0.000
 0.0364   -0.316     0.000     1.147     0.000
 0.0269   -0.256     0.000     1.121     0.000
 0.0188   -0.163     0.000     1.079     0.000
 0.0121   -0.020     0.000     1.010     0.000
 0.0069    0.197     0.000     0.896     0.000
 0.0031    0.504     0.000     0.704     0.000
 0.0008    0.839     0.000     0.401     0.000
 0.0000    1.000     0.000     0.000     0.000
 0.0008    0.839     0.000    -0.401     0.000
 0.0031    0.504     0.000    -0.704     0.000
 0.0069    0.197     0.000    -0.896     0.000
 0.0121   -0.020     0.000    -1.010     0.000
 0.0188   -0.163     0.000    -1.079     0.000
 0.0269   -0.256     0.000    -1.121     0.000
 0.0364   -0.316     0.000    -1.147     0.000
 0.0472   -0.356     0.000    -1.165     0.000
 0.0592   -0.382     0.000    -1.176     0.000
 0.0726   -0.398     0.000    -1.183     0.000
 0.0871   -0.408     0.000    -1.187     0.000
 0.1028   -0.413     0.000    -1.189     0.000
 0.1197   -0.414     0.000    -1.189     0.000
 0.1376   -0.411     0.000    -1.188     0.000
 0.1566   -0.407     0.000    -1.186     0.000
 0.1766   -0.400     0.000    -1.183     0.000
 0.1976   -0.391     0.000    -1.179     0.000
 0.2195   -0.381     0.000    -1.175     0.000
 0.2423   -0.369     0.000    -1.170     0.000
 0.2659   -0.357     0.000    -1.165     0.000
 0.2904   -0.343     0.000    -1.159     0.000
 0.3155   -0.329     0.000    -1.153     0.000
 0.3413   -0.314     0.000    -1.146     0.000
 0.3678   -0.298     0.000    -1.139     0.000
 0.3949   -0.282     0.000    -1.132     0.000
 0.4225   -0.266     0.000    -1.125     0.000
 0.4505   -0.250     0.000    -1.118     0.000
 0.4789   -0.233     0.000    -1.110     0.000
 0.5077   -0.217     0.000    -1.103     0.000
 0.5368   -0.200     0.000    -1.096     0.000
 0.5661   -0.184     0.000    -1.088     0.000
 0.5955   -0.167     0.000    -1.080     0.000
 0.6249   -0.151     0.000    -1.073     0.000
 0.6543   -0.134     0.000    -1.065     0.000
 0.6836   -0.118     0.000    -1.057     0.000
 0.7127   -0.101     0.000    -1.049     0.000
 0.7415   -0.084     0.000    -1.041     0.000
 0.7699   -0.066     0.000    -1.033     0.000
 0.7977   -0.048     0.000    -1.024     0.000
 0.8249   -0.029     0.000    -1.014     0.000
 0.8512   -0.008     0.000    -1.004     0.000
 0.8766    0.014     0.000    -0.993     0.000
 0.9007    0.038     0.000    -0.981     0.000
 0.9235    0.065     0.000    -0.967     0.000
 0.9445    0.097     0.000    -0.950     0.000
 0.9635    0.135     0.000    -0.930     0.000
 0.9799    0.183     0.000    -0.904     0.000
 0.9928    0.246     0.000    -0.868     0.000
 1.0000    0.413     0.000    -0.766     0.000


