xflr5 v6.44
NACA 1112
T1_Re0.100_M0.00_N9.0
Alpha =   5.0,  Re =   100000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 1.0000    0.415     0.000     0.765     0.000
 0.9897    0.210     0.000     0.889     0.000
 0.9701    0.126     0.000     0.935     0.000
 0.9466    0.061     0.000     0.969     0.000
 0.9212    0.010     0.000     0.995     0.000
 0.8949   -0.033     0.000     1.016     0.000
 0.8684   -0.071     0.000     1.035     0.000
 0.8419   -0.105     0.000     1.051     0.000
 0.8152   -0.136     0.000     1.066     0.000
 0.7886   -0.166     0.000     1.080     0.000
 0.7619   -0.195     0.000     1.093     0.000
 0.7352   -0.223     0.000     1.106     0.000
 0.7085   -0.250     0.000     1.118     0.000
 0.6819   -0.278     0.000     1.130     0.000
 0.6552   -0.305     0.000     1.143     0.000
 0.6285   -0.333     0.000     1.155     0.000
 0.6019   -0.361     0.000     1.167     0.000
 0.5752   -0.390     0.000     1.179     0.000
 0.5486   -0.420     0.000     1.192     0.000
 0.5221   -0.450     0.000     1.204     0.000
 0.4956   -0.482     0.000     1.217     0.000
 0.4691   -0.514     0.000     1.231     0.000
 0.4427   -0.548     0.000     1.244     0.000
 0.4163   -0.584     0.000     1.258     0.000
 0.3901   -0.621     0.000     1.273     0.000
 0.3639   -0.660     0.000     1.288     0.000
 0.3378   -0.701     0.000     1.304     0.000
 0.3119   -0.744     0.000     1.321     0.000
 0.2861   -0.791     0.000     1.338     0.000
 0.2605   -0.841     0.000     1.357     0.000
 0.2351   -0.895     0.000     1.377     0.000
 0.2100   -0.955     0.000     1.398     0.000
 0.1852   -1.022     0.000     1.422     0.000
 0.1610   -1.099     0.000     1.449     0.000
 0.1375   -1.190     0.000     1.480     0.000
 0.1153   -1.305     0.000     1.518     0.000
 0.0952   -1.506     0.000     1.583     0.000
 0.0777   -1.645     0.000     1.626     0.000
 0.0622   -1.688     0.000     1.639     0.000
 0.0489   -1.709     0.000     1.646     0.000
 0.0379   -1.707     0.000     1.645     0.000
 0.0290   -1.693     0.000     1.641     0.000
 0.0218   -1.670     0.000     1.634     0.000
 0.0161   -1.634     0.000     1.623     0.000
 0.0116   -1.582     0.000     1.607     0.000
 0.0079   -1.504     0.000     1.582     0.000
 0.0051   -1.388     0.000     1.545     0.000
 0.0029   -1.207     0.000     1.486     0.000
 0.0013   -0.948     0.000     1.396     0.000
 0.0004   -0.584     0.000     1.259     0.000
 0.0000   -0.166     0.000     1.080     0.000
 0.0002    0.272     0.000     0.853     0.000
 0.0010    0.665     0.000     0.579     0.000
 0.0025    0.920     0.000     0.283     0.000
 0.0048    0.999     0.000     0.023     0.000
 0.0079    0.967     0.000    -0.182     0.000
 0.0117    0.886     0.000    -0.337     0.000
 0.0163    0.794     0.000    -0.454     0.000
 0.0220    0.705     0.000    -0.543     0.000
 0.0292    0.624     0.000    -0.613     0.000
 0.0383    0.553     0.000    -0.669     0.000
 0.0502    0.489     0.000    -0.715     0.000
 0.0658    0.430     0.000    -0.755     0.000
 0.0856    0.371     0.000    -0.793     0.000
 0.1078    0.277     0.000    -0.850     0.000
 0.1309    0.209     0.000    -0.889     0.000
 0.1547    0.164     0.000    -0.914     0.000
 0.1790    0.129     0.000    -0.933     0.000
 0.2039    0.102     0.000    -0.948     0.000
 0.2291    0.081     0.000    -0.959     0.000
 0.2545    0.065     0.000    -0.967     0.000
 0.2803    0.052     0.000    -0.974     0.000
 0.3062    0.043     0.000    -0.978     0.000
 0.3322    0.036     0.000    -0.982     0.000
 0.3584    0.031     0.000    -0.984     0.000
 0.3848    0.028     0.000    -0.986     0.000
 0.4112    0.026     0.000    -0.987     0.000
 0.4377    0.025     0.000    -0.987     0.000
 0.4643    0.026     0.000    -0.987     0.000
 0.4909    0.027     0.000    -0.987     0.000
 0.5176    0.028     0.000    -0.986     0.000
 0.5444    0.030     0.000    -0.985     0.000
 0.5712    0.033     0.000    -0.983     0.000
 0.5980    0.036     0.000    -0.982     0.000
 0.6249    0.040     0.000    -0.980     0.000
 0.6518    0.043     0.000    -0.978     0.000
 0.6787    0.048     0.000    -0.976     0.000
 0.7056    0.052     0.000    -0.973     0.000
 0.7326    0.058     0.000    -0.971     0.000
 0.7595    0.064     0.000    -0.968     0.000
 0.7864    0.070     0.000    -0.964     0.000
 0.8133    0.078     0.000    -0.960     0.000
 0.8402    0.087     0.000    -0.955     0.000
 0.8671    0.099     0.000    -0.949     0.000
 0.8939    0.112     0.000    -0.942     0.000
 0.9204    0.130     0.000    -0.933     0.000
 0.9461    0.155     0.000    -0.919     0.000
 0.9698    0.191     0.000    -0.899     0.000
 0.9896    0.247     0.000    -0.868     0.000
 1.0000    0.415     0.000    -0.765     0.000


