xflr5 v6.44
NACA 1112
T1_Re0.100_M0.00_N9.0
Alpha =  -2.0,  Re =   100000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 1.0000    0.409     0.000     0.769     0.000
 0.9897    0.221     0.000     0.883     0.000
 0.9701    0.151     0.000     0.921     0.000
 0.9466    0.101     0.000     0.948     0.000
 0.9212    0.063     0.000     0.968     0.000
 0.8949    0.034     0.000     0.983     0.000
 0.8684    0.009     0.000     0.996     0.000
 0.8419   -0.012     0.000     1.006     0.000
 0.8152   -0.031     0.000     1.016     0.000
 0.7886   -0.049     0.000     1.024     0.000
 0.7619   -0.064     0.000     1.032     0.000
 0.7352   -0.079     0.000     1.039     0.000
 0.7085   -0.094     0.000     1.046     0.000
 0.6819   -0.107     0.000     1.052     0.000
 0.6552   -0.120     0.000     1.059     0.000
 0.6285   -0.133     0.000     1.065     0.000
 0.6019   -0.146     0.000     1.070     0.000
 0.5752   -0.158     0.000     1.076     0.000
 0.5486   -0.171     0.000     1.082     0.000
 0.5221   -0.183     0.000     1.088     0.000
 0.4956   -0.195     0.000     1.093     0.000
 0.4691   -0.206     0.000     1.098     0.000
 0.4427   -0.218     0.000     1.104     0.000
 0.4163   -0.229     0.000     1.109     0.000
 0.3901   -0.240     0.000     1.114     0.000
 0.3639   -0.250     0.000     1.118     0.000
 0.3378   -0.260     0.000     1.123     0.000
 0.3119   -0.269     0.000     1.127     0.000
 0.2861   -0.277     0.000     1.130     0.000
 0.2605   -0.284     0.000     1.133     0.000
 0.2351   -0.289     0.000     1.136     0.000
 0.2100   -0.293     0.000     1.137     0.000
 0.1852   -0.294     0.000     1.138     0.000
 0.1610   -0.293     0.000     1.137     0.000
 0.1375   -0.290     0.000     1.136     0.000
 0.1153   -0.286     0.000     1.134     0.000
 0.0952   -0.311     0.000     1.145     0.000
 0.0777   -0.283     0.000     1.133     0.000
 0.0622   -0.189     0.000     1.090     0.000
 0.0489   -0.072     0.000     1.035     0.000
 0.0379    0.062     0.000     0.969     0.000
 0.0290    0.203     0.000     0.893     0.000
 0.0218    0.348     0.000     0.807     0.000
 0.0161    0.493     0.000     0.712     0.000
 0.0116    0.637     0.000     0.603     0.000
 0.0079    0.773     0.000     0.476     0.000
 0.0051    0.893     0.000     0.327     0.000
 0.0029    0.978     0.000     0.149     0.000
 0.0013    0.996     0.000    -0.065     0.000
 0.0004    0.905     0.000    -0.308     0.000
 0.0000    0.679     0.000    -0.567     0.000
 0.0002    0.311     0.000    -0.830     0.000
 0.0010   -0.179     0.000    -1.086     0.000
 0.0025   -0.624     0.000    -1.274     0.000
 0.0048   -0.911     0.000    -1.382     0.000
 0.0079   -1.024     0.000    -1.423     0.000
 0.0117   -1.031     0.000    -1.425     0.000
 0.0163   -0.980     0.000    -1.407     0.000
 0.0220   -0.898     0.000    -1.378     0.000
 0.0292   -0.803     0.000    -1.343     0.000
 0.0383   -0.704     0.000    -1.305     0.000
 0.0502   -0.607     0.000    -1.268     0.000
 0.0658   -0.523     0.000    -1.234     0.000
 0.0856   -0.468     0.000    -1.212     0.000
 0.1078   -0.518     0.000    -1.232     0.000
 0.1309   -0.530     0.000    -1.237     0.000
 0.1547   -0.516     0.000    -1.231     0.000
 0.1790   -0.499     0.000    -1.224     0.000
 0.2039   -0.479     0.000    -1.216     0.000
 0.2291   -0.459     0.000    -1.208     0.000
 0.2545   -0.437     0.000    -1.199     0.000
 0.2803   -0.416     0.000    -1.190     0.000
 0.3062   -0.394     0.000    -1.181     0.000
 0.3322   -0.373     0.000    -1.172     0.000
 0.3584   -0.352     0.000    -1.163     0.000
 0.3848   -0.331     0.000    -1.154     0.000
 0.4112   -0.311     0.000    -1.145     0.000
 0.4377   -0.292     0.000    -1.136     0.000
 0.4643   -0.272     0.000    -1.128     0.000
 0.4909   -0.253     0.000    -1.120     0.000
 0.5176   -0.235     0.000    -1.111     0.000
 0.5444   -0.217     0.000    -1.103     0.000
 0.5712   -0.199     0.000    -1.095     0.000
 0.5980   -0.182     0.000    -1.087     0.000
 0.6249   -0.165     0.000    -1.079     0.000
 0.6518   -0.148     0.000    -1.071     0.000
 0.6787   -0.131     0.000    -1.063     0.000
 0.7056   -0.113     0.000    -1.055     0.000
 0.7326   -0.096     0.000    -1.047     0.000
 0.7595   -0.078     0.000    -1.038     0.000
 0.7864   -0.060     0.000    -1.029     0.000
 0.8133   -0.040     0.000    -1.020     0.000
 0.8402   -0.019     0.000    -1.010     0.000
 0.8671    0.004     0.000    -0.998     0.000
 0.8939    0.030     0.000    -0.985     0.000
 0.9204    0.061     0.000    -0.969     0.000
 0.9461    0.099     0.000    -0.949     0.000
 0.9698    0.150     0.000    -0.922     0.000
 0.9896    0.220     0.000    -0.883     0.000
 1.0000    0.409     0.000    -0.769     0.000


