xflr5 v6.44
NACA 1112
T1_Re0.100_M0.00_N9.0
Alpha =   2.5,  Re =   100000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 1.0000    0.411     0.000     0.768     0.000
 0.9897    0.211     0.000     0.888     0.000
 0.9701    0.132     0.000     0.932     0.000
 0.9466    0.072     0.000     0.963     0.000
 0.9212    0.026     0.000     0.987     0.000
 0.8949   -0.012     0.000     1.006     0.000
 0.8684   -0.045     0.000     1.022     0.000
 0.8419   -0.075     0.000     1.037     0.000
 0.8152   -0.102     0.000     1.050     0.000
 0.7886   -0.127     0.000     1.062     0.000
 0.7619   -0.151     0.000     1.073     0.000
 0.7352   -0.175     0.000     1.084     0.000
 0.7085   -0.197     0.000     1.094     0.000
 0.6819   -0.220     0.000     1.104     0.000
 0.6552   -0.242     0.000     1.114     0.000
 0.6285   -0.264     0.000     1.124     0.000
 0.6019   -0.287     0.000     1.134     0.000
 0.5752   -0.309     0.000     1.144     0.000
 0.5486   -0.333     0.000     1.154     0.000
 0.5221   -0.356     0.000     1.165     0.000
 0.4956   -0.380     0.000     1.175     0.000
 0.4691   -0.405     0.000     1.185     0.000
 0.4427   -0.431     0.000     1.196     0.000
 0.4163   -0.457     0.000     1.207     0.000
 0.3901   -0.484     0.000     1.218     0.000
 0.3639   -0.512     0.000     1.230     0.000
 0.3378   -0.541     0.000     1.241     0.000
 0.3119   -0.571     0.000     1.253     0.000
 0.2861   -0.603     0.000     1.266     0.000
 0.2605   -0.636     0.000     1.279     0.000
 0.2351   -0.671     0.000     1.293     0.000
 0.2100   -0.709     0.000     1.307     0.000
 0.1852   -0.749     0.000     1.323     0.000
 0.1610   -0.795     0.000     1.340     0.000
 0.1375   -0.847     0.000     1.359     0.000
 0.1153   -0.914     0.000     1.383     0.000
 0.0952   -1.042     0.000     1.429     0.000
 0.0777   -1.110     0.000     1.452     0.000
 0.0622   -1.090     0.000     1.446     0.000
 0.0489   -1.045     0.000     1.430     0.000
 0.0379   -0.977     0.000     1.406     0.000
 0.0290   -0.894     0.000     1.376     0.000
 0.0218   -0.798     0.000     1.341     0.000
 0.0161   -0.689     0.000     1.300     0.000
 0.0116   -0.563     0.000     1.250     0.000
 0.0079   -0.414     0.000     1.189     0.000
 0.0051   -0.236     0.000     1.112     0.000
 0.0029   -0.020     0.000     1.010     0.000
 0.0013    0.234     0.000     0.875     0.000
 0.0004    0.510     0.000     0.700     0.000
 0.0000    0.758     0.000     0.492     0.000
 0.0002    0.936     0.000     0.252     0.000
 0.0010    1.000     0.000    -0.016     0.000
 0.0025    0.925     0.000    -0.274     0.000
 0.0048    0.770     0.000    -0.480     0.000
 0.0079    0.607     0.000    -0.627     0.000
 0.0117    0.471     0.000    -0.727     0.000
 0.0163    0.366     0.000    -0.796     0.000
 0.0220    0.290     0.000    -0.843     0.000
 0.0292    0.234     0.000    -0.875     0.000
 0.0383    0.194     0.000    -0.898     0.000
 0.0502    0.165     0.000    -0.914     0.000
 0.0658    0.139     0.000    -0.928     0.000
 0.0856    0.109     0.000    -0.944     0.000
 0.1078    0.023     0.000    -0.988     0.000
 0.1309   -0.031     0.000    -1.015     0.000
 0.1547   -0.060     0.000    -1.029     0.000
 0.1790   -0.080     0.000    -1.039     0.000
 0.2039   -0.093     0.000    -1.046     0.000
 0.2291   -0.102     0.000    -1.050     0.000
 0.2545   -0.106     0.000    -1.052     0.000
 0.2803   -0.108     0.000    -1.053     0.000
 0.3062   -0.108     0.000    -1.052     0.000
 0.3322   -0.106     0.000    -1.051     0.000
 0.3584   -0.102     0.000    -1.050     0.000
 0.3848   -0.098     0.000    -1.048     0.000
 0.4112   -0.092     0.000    -1.045     0.000
 0.4377   -0.086     0.000    -1.042     0.000
 0.4643   -0.080     0.000    -1.039     0.000
 0.4909   -0.073     0.000    -1.036     0.000
 0.5176   -0.066     0.000    -1.032     0.000
 0.5444   -0.058     0.000    -1.029     0.000
 0.5712   -0.051     0.000    -1.025     0.000
 0.5980   -0.043     0.000    -1.021     0.000
 0.6249   -0.035     0.000    -1.017     0.000
 0.6518   -0.026     0.000    -1.013     0.000
 0.6787   -0.018     0.000    -1.009     0.000
 0.7056   -0.009     0.000    -1.004     0.000
 0.7326    0.001     0.000    -1.000     0.000
 0.7595    0.011     0.000    -0.995     0.000
 0.7864    0.022     0.000    -0.989     0.000
 0.8133    0.033     0.000    -0.983     0.000
 0.8402    0.047     0.000    -0.976     0.000
 0.8671    0.062     0.000    -0.969     0.000
 0.8939    0.080     0.000    -0.959     0.000
 0.9204    0.103     0.000    -0.947     0.000
 0.9461    0.132     0.000    -0.932     0.000
 0.9698    0.174     0.000    -0.909     0.000
 0.9896    0.235     0.000    -0.875     0.000
 1.0000    0.411     0.000    -0.768     0.000


