xflr5 v6.44
NACA 1112
T1_Re0.100_M0.00_N9.0
Alpha =   0.5,  Re =   100000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 1.0000    0.409     0.000     0.769     0.000
 0.9897    0.214     0.000     0.886     0.000
 0.9701    0.139     0.000     0.928     0.000
 0.9466    0.083     0.000     0.957     0.000
 0.9212    0.041     0.000     0.979     0.000
 0.8949    0.007     0.000     0.997     0.000
 0.8684   -0.023     0.000     1.011     0.000
 0.8419   -0.048     0.000     1.024     0.000
 0.8152   -0.072     0.000     1.035     0.000
 0.7886   -0.094     0.000     1.046     0.000
 0.7619   -0.114     0.000     1.055     0.000
 0.7352   -0.133     0.000     1.065     0.000
 0.7085   -0.152     0.000     1.073     0.000
 0.6819   -0.171     0.000     1.082     0.000
 0.6552   -0.189     0.000     1.090     0.000
 0.6285   -0.207     0.000     1.099     0.000
 0.6019   -0.225     0.000     1.107     0.000
 0.5752   -0.243     0.000     1.115     0.000
 0.5486   -0.261     0.000     1.123     0.000
 0.5221   -0.280     0.000     1.131     0.000
 0.4956   -0.298     0.000     1.139     0.000
 0.4691   -0.317     0.000     1.148     0.000
 0.4427   -0.336     0.000     1.156     0.000
 0.4163   -0.355     0.000     1.164     0.000
 0.3901   -0.375     0.000     1.173     0.000
 0.3639   -0.395     0.000     1.181     0.000
 0.3378   -0.415     0.000     1.189     0.000
 0.3119   -0.435     0.000     1.198     0.000
 0.2861   -0.456     0.000     1.207     0.000
 0.2605   -0.477     0.000     1.215     0.000
 0.2351   -0.498     0.000     1.224     0.000
 0.2100   -0.519     0.000     1.232     0.000
 0.1852   -0.541     0.000     1.241     0.000
 0.1610   -0.564     0.000     1.251     0.000
 0.1375   -0.590     0.000     1.261     0.000
 0.1153   -0.622     0.000     1.273     0.000
 0.0952   -0.700     0.000     1.304     0.000
 0.0777   -0.719     0.000     1.311     0.000
 0.0622   -0.661     0.000     1.289     0.000
 0.0489   -0.577     0.000     1.256     0.000
 0.0379   -0.470     0.000     1.213     0.000
 0.0290   -0.350     0.000     1.162     0.000
 0.0218   -0.220     0.000     1.105     0.000
 0.0161   -0.080     0.000     1.039     0.000
 0.0116    0.072     0.000     0.963     0.000
 0.0079    0.238     0.000     0.873     0.000
 0.0051    0.417     0.000     0.764     0.000
 0.0029    0.606     0.000     0.627     0.000
 0.0013    0.790     0.000     0.458     0.000
 0.0004    0.937     0.000     0.252     0.000
 0.0000    1.000     0.000     0.022     0.000
 0.0002    0.947     0.000    -0.229     0.000
 0.0010    0.758     0.000    -0.492     0.000
 0.0025    0.483     0.000    -0.719     0.000
 0.0048    0.223     0.000    -0.882     0.000
 0.0079    0.037     0.000    -0.981     0.000
 0.0117   -0.078     0.000    -1.038     0.000
 0.0163   -0.142     0.000    -1.068     0.000
 0.0220   -0.169     0.000    -1.081     0.000
 0.0292   -0.175     0.000    -1.084     0.000
 0.0383   -0.166     0.000    -1.080     0.000
 0.0502   -0.149     0.000    -1.072     0.000
 0.0658   -0.134     0.000    -1.065     0.000
 0.0856   -0.132     0.000    -1.064     0.000
 0.1078   -0.204     0.000    -1.097     0.000
 0.1309   -0.242     0.000    -1.115     0.000
 0.1547   -0.254     0.000    -1.120     0.000
 0.1790   -0.260     0.000    -1.122     0.000
 0.2039   -0.260     0.000    -1.122     0.000
 0.2291   -0.256     0.000    -1.121     0.000
 0.2545   -0.250     0.000    -1.118     0.000
 0.2803   -0.242     0.000    -1.114     0.000
 0.3062   -0.233     0.000    -1.110     0.000
 0.3322   -0.223     0.000    -1.106     0.000
 0.3584   -0.212     0.000    -1.101     0.000
 0.3848   -0.201     0.000    -1.096     0.000
 0.4112   -0.189     0.000    -1.090     0.000
 0.4377   -0.177     0.000    -1.085     0.000
 0.4643   -0.165     0.000    -1.079     0.000
 0.4909   -0.153     0.000    -1.074     0.000
 0.5176   -0.141     0.000    -1.068     0.000
 0.5444   -0.129     0.000    -1.063     0.000
 0.5712   -0.117     0.000    -1.057     0.000
 0.5980   -0.105     0.000    -1.051     0.000
 0.6249   -0.093     0.000    -1.046     0.000
 0.6518   -0.081     0.000    -1.040     0.000
 0.6787   -0.069     0.000    -1.034     0.000
 0.7056   -0.056     0.000    -1.028     0.000
 0.7326   -0.043     0.000    -1.021     0.000
 0.7595   -0.030     0.000    -1.015     0.000
 0.7864   -0.016     0.000    -1.008     0.000
 0.8133   -0.001     0.000    -1.000     0.000
 0.8402    0.016     0.000    -0.992     0.000
 0.8671    0.035     0.000    -0.982     0.000
 0.8939    0.057     0.000    -0.971     0.000
 0.9204    0.083     0.000    -0.958     0.000
 0.9461    0.116     0.000    -0.940     0.000
 0.9698    0.162     0.000    -0.915     0.000
 0.9896    0.227     0.000    -0.879     0.000
 1.0000    0.409     0.000    -0.769     0.000


