xflr5 v6.44
NACA 1112
T1_Re0.100_M0.00_N9.0
Alpha =  -1.5,  Re =   100000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 1.0000    0.409     0.000     0.769     0.000
 0.9897    0.219     0.000     0.884     0.000
 0.9701    0.148     0.000     0.923     0.000
 0.9466    0.097     0.000     0.950     0.000
 0.9212    0.059     0.000     0.970     0.000
 0.8949    0.028     0.000     0.986     0.000
 0.8684    0.002     0.000     0.999     0.000
 0.8419   -0.020     0.000     1.010     0.000
 0.8152   -0.040     0.000     1.020     0.000
 0.7886   -0.058     0.000     1.028     0.000
 0.7619   -0.075     0.000     1.037     0.000
 0.7352   -0.090     0.000     1.044     0.000
 0.7085   -0.106     0.000     1.051     0.000
 0.6819   -0.120     0.000     1.058     0.000
 0.6552   -0.134     0.000     1.065     0.000
 0.6285   -0.148     0.000     1.072     0.000
 0.6019   -0.162     0.000     1.078     0.000
 0.5752   -0.175     0.000     1.084     0.000
 0.5486   -0.189     0.000     1.090     0.000
 0.5221   -0.202     0.000     1.096     0.000
 0.4956   -0.215     0.000     1.102     0.000
 0.4691   -0.228     0.000     1.108     0.000
 0.4427   -0.241     0.000     1.114     0.000
 0.4163   -0.254     0.000     1.120     0.000
 0.3901   -0.267     0.000     1.125     0.000
 0.3639   -0.279     0.000     1.131     0.000
 0.3378   -0.291     0.000     1.136     0.000
 0.3119   -0.302     0.000     1.141     0.000
 0.2861   -0.312     0.000     1.146     0.000
 0.2605   -0.322     0.000     1.150     0.000
 0.2351   -0.330     0.000     1.153     0.000
 0.2100   -0.337     0.000     1.156     0.000
 0.1852   -0.342     0.000     1.159     0.000
 0.1610   -0.346     0.000     1.160     0.000
 0.1375   -0.347     0.000     1.161     0.000
 0.1153   -0.350     0.000     1.162     0.000
 0.0952   -0.385     0.000     1.177     0.000
 0.0777   -0.365     0.000     1.168     0.000
 0.0622   -0.277     0.000     1.130     0.000
 0.0489   -0.166     0.000     1.080     0.000
 0.0379   -0.035     0.000     1.018     0.000
 0.0290    0.104     0.000     0.947     0.000
 0.0218    0.248     0.000     0.867     0.000
 0.0161    0.396     0.000     0.777     0.000
 0.0116    0.544     0.000     0.675     0.000
 0.0079    0.691     0.000     0.556     0.000
 0.0051    0.828     0.000     0.414     0.000
 0.0029    0.940     0.000     0.245     0.000
 0.0013    0.998     0.000     0.040     0.000
 0.0004    0.961     0.000    -0.196     0.000
 0.0000    0.798     0.000    -0.449     0.000
 0.0002    0.496     0.000    -0.710     0.000
 0.0010    0.065     0.000    -0.967     0.000
 0.0025   -0.354     0.000    -1.164     0.000
 0.0048   -0.644     0.000    -1.282     0.000
 0.0079   -0.781     0.000    -1.335     0.000
 0.0117   -0.817     0.000    -1.348     0.000
 0.0163   -0.795     0.000    -1.340     0.000
 0.0220   -0.739     0.000    -1.319     0.000
 0.0292   -0.667     0.000    -1.291     0.000
 0.0383   -0.589     0.000    -1.260     0.000
 0.0502   -0.509     0.000    -1.229     0.000
 0.0658   -0.441     0.000    -1.201     0.000
 0.0856   -0.398     0.000    -1.182     0.000
 0.1078   -0.453     0.000    -1.205     0.000
 0.1309   -0.471     0.000    -1.213     0.000
 0.1547   -0.462     0.000    -1.209     0.000
 0.1790   -0.450     0.000    -1.204     0.000
 0.2039   -0.434     0.000    -1.198     0.000
 0.2291   -0.417     0.000    -1.190     0.000
 0.2545   -0.399     0.000    -1.183     0.000
 0.2803   -0.380     0.000    -1.175     0.000
 0.3062   -0.361     0.000    -1.167     0.000
 0.3322   -0.342     0.000    -1.159     0.000
 0.3584   -0.324     0.000    -1.151     0.000
 0.3848   -0.305     0.000    -1.142     0.000
 0.4112   -0.287     0.000    -1.134     0.000
 0.4377   -0.269     0.000    -1.126     0.000
 0.4643   -0.251     0.000    -1.118     0.000
 0.4909   -0.233     0.000    -1.111     0.000
 0.5176   -0.216     0.000    -1.103     0.000
 0.5444   -0.200     0.000    -1.095     0.000
 0.5712   -0.183     0.000    -1.088     0.000
 0.5980   -0.167     0.000    -1.080     0.000
 0.6249   -0.150     0.000    -1.073     0.000
 0.6518   -0.134     0.000    -1.065     0.000
 0.6787   -0.118     0.000    -1.058     0.000
 0.7056   -0.102     0.000    -1.050     0.000
 0.7326   -0.086     0.000    -1.042     0.000
 0.7595   -0.069     0.000    -1.034     0.000
 0.7864   -0.051     0.000    -1.025     0.000
 0.8133   -0.033     0.000    -1.016     0.000
 0.8402   -0.013     0.000    -1.006     0.000
 0.8671    0.010     0.000    -0.995     0.000
 0.8939    0.035     0.000    -0.982     0.000
 0.9204    0.065     0.000    -0.967     0.000
 0.9461    0.102     0.000    -0.947     0.000
 0.9698    0.152     0.000    -0.921     0.000
 0.9896    0.221     0.000    -0.882     0.000
 1.0000    0.409     0.000    -0.769     0.000


