xflr5 v6.44
NACA 1112
T1_Re0.100_M0.00_N9.0
Alpha =   0.0,  Re =   100000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 1.0000    0.409     0.000     0.769     0.000
 0.9897    0.215     0.000     0.886     0.000
 0.9701    0.141     0.000     0.927     0.000
 0.9466    0.087     0.000     0.956     0.000
 0.9212    0.045     0.000     0.977     0.000
 0.8949    0.012     0.000     0.994     0.000
 0.8684   -0.017     0.000     1.008     0.000
 0.8419   -0.042     0.000     1.021     0.000
 0.8152   -0.064     0.000     1.032     0.000
 0.7886   -0.085     0.000     1.042     0.000
 0.7619   -0.104     0.000     1.051     0.000
 0.7352   -0.123     0.000     1.060     0.000
 0.7085   -0.141     0.000     1.068     0.000
 0.6819   -0.158     0.000     1.076     0.000
 0.6552   -0.175     0.000     1.084     0.000
 0.6285   -0.192     0.000     1.092     0.000
 0.6019   -0.209     0.000     1.100     0.000
 0.5752   -0.226     0.000     1.107     0.000
 0.5486   -0.243     0.000     1.115     0.000
 0.5221   -0.260     0.000     1.123     0.000
 0.4956   -0.277     0.000     1.130     0.000
 0.4691   -0.295     0.000     1.138     0.000
 0.4427   -0.312     0.000     1.146     0.000
 0.4163   -0.330     0.000     1.153     0.000
 0.3901   -0.348     0.000     1.161     0.000
 0.3639   -0.366     0.000     1.169     0.000
 0.3378   -0.384     0.000     1.176     0.000
 0.3119   -0.402     0.000     1.184     0.000
 0.2861   -0.419     0.000     1.191     0.000
 0.2605   -0.437     0.000     1.199     0.000
 0.2351   -0.455     0.000     1.206     0.000
 0.2100   -0.473     0.000     1.214     0.000
 0.1852   -0.490     0.000     1.221     0.000
 0.1610   -0.508     0.000     1.228     0.000
 0.1375   -0.527     0.000     1.236     0.000
 0.1153   -0.552     0.000     1.246     0.000
 0.0952   -0.619     0.000     1.272     0.000
 0.0777   -0.627     0.000     1.276     0.000
 0.0622   -0.561     0.000     1.249     0.000
 0.0489   -0.468     0.000     1.212     0.000
 0.0379   -0.355     0.000     1.164     0.000
 0.0290   -0.228     0.000     1.108     0.000
 0.0218   -0.093     0.000     1.045     0.000
 0.0161    0.052     0.000     0.974     0.000
 0.0116    0.206     0.000     0.891     0.000
 0.0079    0.370     0.000     0.794     0.000
 0.0051    0.542     0.000     0.676     0.000
 0.0029    0.717     0.000     0.532     0.000
 0.0013    0.875     0.000     0.353     0.000
 0.0004    0.980     0.000     0.140     0.000
 0.0000    0.991     0.000    -0.096     0.000
 0.0002    0.878     0.000    -0.349     0.000
 0.0010    0.627     0.000    -0.611     0.000
 0.0025    0.310     0.000    -0.830     0.000
 0.0048    0.036     0.000    -0.982     0.000
 0.0079   -0.144     0.000    -1.070     0.000
 0.0117   -0.245     0.000    -1.116     0.000
 0.0163   -0.291     0.000    -1.136     0.000
 0.0220   -0.302     0.000    -1.141     0.000
 0.0292   -0.290     0.000    -1.136     0.000
 0.0383   -0.266     0.000    -1.125     0.000
 0.0502   -0.235     0.000    -1.111     0.000
 0.0658   -0.207     0.000    -1.099     0.000
 0.0856   -0.196     0.000    -1.094     0.000
 0.1078   -0.265     0.000    -1.125     0.000
 0.1309   -0.298     0.000    -1.139     0.000
 0.1547   -0.305     0.000    -1.142     0.000
 0.1790   -0.306     0.000    -1.143     0.000
 0.2039   -0.303     0.000    -1.141     0.000
 0.2291   -0.296     0.000    -1.138     0.000
 0.2545   -0.287     0.000    -1.134     0.000
 0.2803   -0.276     0.000    -1.130     0.000
 0.3062   -0.265     0.000    -1.125     0.000
 0.3322   -0.252     0.000    -1.119     0.000
 0.3584   -0.240     0.000    -1.113     0.000
 0.3848   -0.227     0.000    -1.108     0.000
 0.4112   -0.213     0.000    -1.102     0.000
 0.4377   -0.200     0.000    -1.095     0.000
 0.4643   -0.187     0.000    -1.089     0.000
 0.4909   -0.173     0.000    -1.083     0.000
 0.5176   -0.160     0.000    -1.077     0.000
 0.5444   -0.147     0.000    -1.071     0.000
 0.5712   -0.134     0.000    -1.065     0.000
 0.5980   -0.121     0.000    -1.059     0.000
 0.6249   -0.108     0.000    -1.052     0.000
 0.6518   -0.095     0.000    -1.046     0.000
 0.6787   -0.081     0.000    -1.040     0.000
 0.7056   -0.068     0.000    -1.033     0.000
 0.7326   -0.054     0.000    -1.027     0.000
 0.7595   -0.040     0.000    -1.020     0.000
 0.7864   -0.025     0.000    -1.012     0.000
 0.8133   -0.009     0.000    -1.004     0.000
 0.8402    0.009     0.000    -0.996     0.000
 0.8671    0.028     0.000    -0.986     0.000
 0.8939    0.051     0.000    -0.974     0.000
 0.9204    0.078     0.000    -0.960     0.000
 0.9461    0.113     0.000    -0.942     0.000
 0.9698    0.160     0.000    -0.917     0.000
 0.9896    0.225     0.000    -0.880     0.000
 1.0000    0.409     0.000    -0.769     0.000


