xflr5 v6.44
NACA 1112
T1_Re0.100_M0.00_N9.0
Alpha =   4.5,  Re =   100000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 1.0000    0.414     0.000     0.766     0.000
 0.9897    0.210     0.000     0.889     0.000
 0.9701    0.127     0.000     0.934     0.000
 0.9466    0.063     0.000     0.968     0.000
 0.9212    0.013     0.000     0.993     0.000
 0.8949   -0.029     0.000     1.014     0.000
 0.8684   -0.066     0.000     1.032     0.000
 0.8419   -0.099     0.000     1.048     0.000
 0.8152   -0.130     0.000     1.063     0.000
 0.7886   -0.159     0.000     1.076     0.000
 0.7619   -0.186     0.000     1.089     0.000
 0.7352   -0.213     0.000     1.102     0.000
 0.7085   -0.240     0.000     1.114     0.000
 0.6819   -0.267     0.000     1.125     0.000
 0.6552   -0.293     0.000     1.137     0.000
 0.6285   -0.320     0.000     1.149     0.000
 0.6019   -0.347     0.000     1.161     0.000
 0.5752   -0.374     0.000     1.172     0.000
 0.5486   -0.403     0.000     1.184     0.000
 0.5221   -0.432     0.000     1.197     0.000
 0.4956   -0.462     0.000     1.209     0.000
 0.4691   -0.493     0.000     1.222     0.000
 0.4427   -0.525     0.000     1.235     0.000
 0.4163   -0.558     0.000     1.248     0.000
 0.3901   -0.593     0.000     1.262     0.000
 0.3639   -0.630     0.000     1.277     0.000
 0.3378   -0.669     0.000     1.292     0.000
 0.3119   -0.709     0.000     1.307     0.000
 0.2861   -0.753     0.000     1.324     0.000
 0.2605   -0.799     0.000     1.341     0.000
 0.2351   -0.850     0.000     1.360     0.000
 0.2100   -0.905     0.000     1.380     0.000
 0.1852   -0.966     0.000     1.402     0.000
 0.1610   -1.037     0.000     1.427     0.000
 0.1375   -1.120     0.000     1.456     0.000
 0.1153   -1.224     0.000     1.491     0.000
 0.0952   -1.410     0.000     1.552     0.000
 0.0777   -1.534     0.000     1.592     0.000
 0.0622   -1.563     0.000     1.601     0.000
 0.0489   -1.569     0.000     1.603     0.000
 0.0379   -1.553     0.000     1.598     0.000
 0.0290   -1.523     0.000     1.588     0.000
 0.0218   -1.482     0.000     1.575     0.000
 0.0161   -1.429     0.000     1.559     0.000
 0.0116   -1.358     0.000     1.536     0.000
 0.0079   -1.262     0.000     1.504     0.000
 0.0051   -1.128     0.000     1.459     0.000
 0.0029   -0.934     0.000     1.391     0.000
 0.0013   -0.669     0.000     1.292     0.000
 0.0004   -0.316     0.000     1.147     0.000
 0.0000    0.074     0.000     0.962     0.000
 0.0002    0.463     0.000     0.733     0.000
 0.0010    0.789     0.000     0.460     0.000
 0.0025    0.971     0.000     0.172     0.000
 0.0048    0.994     0.000    -0.077     0.000
 0.0079    0.926     0.000    -0.271     0.000
 0.0117    0.827     0.000    -0.415     0.000
 0.0163    0.727     0.000    -0.523     0.000
 0.0220    0.636     0.000    -0.603     0.000
 0.0292    0.557     0.000    -0.665     0.000
 0.0383    0.489     0.000    -0.715     0.000
 0.0502    0.431     0.000    -0.755     0.000
 0.0658    0.377     0.000    -0.790     0.000
 0.0856    0.322     0.000    -0.823     0.000
 0.1078    0.229     0.000    -0.878     0.000
 0.1309    0.164     0.000    -0.915     0.000
 0.1547    0.121     0.000    -0.937     0.000
 0.1790    0.088     0.000    -0.955     0.000
 0.2039    0.064     0.000    -0.968     0.000
 0.2291    0.045     0.000    -0.977     0.000
 0.2545    0.031     0.000    -0.984     0.000
 0.2803    0.021     0.000    -0.990     0.000
 0.3062    0.013     0.000    -0.993     0.000
 0.3322    0.008     0.000    -0.996     0.000
 0.3584    0.005     0.000    -0.998     0.000
 0.3848    0.003     0.000    -0.998     0.000
 0.4112    0.003     0.000    -0.999     0.000
 0.4377    0.003     0.000    -0.998     0.000
 0.4643    0.005     0.000    -0.998     0.000
 0.4909    0.007     0.000    -0.997     0.000
 0.5176    0.009     0.000    -0.995     0.000
 0.5444    0.013     0.000    -0.994     0.000
 0.5712    0.016     0.000    -0.992     0.000
 0.5980    0.020     0.000    -0.990     0.000
 0.6249    0.025     0.000    -0.988     0.000
 0.6518    0.029     0.000    -0.985     0.000
 0.6787    0.034     0.000    -0.983     0.000
 0.7056    0.040     0.000    -0.980     0.000
 0.7326    0.046     0.000    -0.977     0.000
 0.7595    0.053     0.000    -0.973     0.000
 0.7864    0.060     0.000    -0.969     0.000
 0.8133    0.069     0.000    -0.965     0.000
 0.8402    0.079     0.000    -0.960     0.000
 0.8671    0.091     0.000    -0.953     0.000
 0.8939    0.106     0.000    -0.946     0.000
 0.9204    0.125     0.000    -0.936     0.000
 0.9461    0.150     0.000    -0.922     0.000
 0.9698    0.188     0.000    -0.901     0.000
 0.9896    0.244     0.000    -0.869     0.000
 1.0000    0.414     0.000    -0.766     0.000


