xflr5 v6.44
NACA 1112
T1_Re0.100_M0.00_N9.0
Alpha =   1.0,  Re =   100000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 1.0000    0.409     0.000     0.768     0.000
 0.9897    0.213     0.000     0.887     0.000
 0.9701    0.137     0.000     0.929     0.000
 0.9466    0.080     0.000     0.959     0.000
 0.9212    0.037     0.000     0.981     0.000
 0.8949    0.002     0.000     0.999     0.000
 0.8684   -0.029     0.000     1.014     0.000
 0.8419   -0.055     0.000     1.027     0.000
 0.8152   -0.080     0.000     1.039     0.000
 0.7886   -0.102     0.000     1.050     0.000
 0.7619   -0.124     0.000     1.060     0.000
 0.7352   -0.144     0.000     1.070     0.000
 0.7085   -0.164     0.000     1.079     0.000
 0.6819   -0.183     0.000     1.088     0.000
 0.6552   -0.202     0.000     1.097     0.000
 0.6285   -0.221     0.000     1.105     0.000
 0.6019   -0.241     0.000     1.114     0.000
 0.5752   -0.260     0.000     1.122     0.000
 0.5486   -0.279     0.000     1.131     0.000
 0.5221   -0.299     0.000     1.140     0.000
 0.4956   -0.319     0.000     1.148     0.000
 0.4691   -0.339     0.000     1.157     0.000
 0.4427   -0.360     0.000     1.166     0.000
 0.4163   -0.381     0.000     1.175     0.000
 0.3901   -0.402     0.000     1.184     0.000
 0.3639   -0.424     0.000     1.193     0.000
 0.3378   -0.446     0.000     1.203     0.000
 0.3119   -0.469     0.000     1.212     0.000
 0.2861   -0.492     0.000     1.222     0.000
 0.2605   -0.516     0.000     1.231     0.000
 0.2351   -0.540     0.000     1.241     0.000
 0.2100   -0.566     0.000     1.251     0.000
 0.1852   -0.592     0.000     1.262     0.000
 0.1610   -0.621     0.000     1.273     0.000
 0.1375   -0.653     0.000     1.286     0.000
 0.1153   -0.693     0.000     1.301     0.000
 0.0952   -0.783     0.000     1.335     0.000
 0.0777   -0.814     0.000     1.347     0.000
 0.0622   -0.764     0.000     1.328     0.000
 0.0489   -0.689     0.000     1.299     0.000
 0.0379   -0.590     0.000     1.261     0.000
 0.0290   -0.478     0.000     1.216     0.000
 0.0218   -0.354     0.000     1.164     0.000
 0.0161   -0.220     0.000     1.104     0.000
 0.0116   -0.071     0.000     1.035     0.000
 0.0079    0.093     0.000     0.952     0.000
 0.0051    0.276     0.000     0.851     0.000
 0.0029    0.477     0.000     0.723     0.000
 0.0013    0.684     0.000     0.562     0.000
 0.0004    0.868     0.000     0.364     0.000
 0.0000    0.981     0.000     0.139     0.000
 0.0002    0.988     0.000    -0.109     0.000
 0.0010    0.861     0.000    -0.373     0.000
 0.0025    0.630     0.000    -0.608     0.000
 0.0048    0.390     0.000    -0.781     0.000
 0.0079    0.203     0.000    -0.893     0.000
 0.0117    0.077     0.000    -0.961     0.000
 0.0163   -0.001     0.000    -1.000     0.000
 0.0220   -0.044     0.000    -1.022     0.000
 0.0292   -0.065     0.000    -1.032     0.000
 0.0383   -0.070     0.000    -1.034     0.000
 0.0502   -0.066     0.000    -1.032     0.000
 0.0658   -0.062     0.000    -1.031     0.000
 0.0856   -0.069     0.000    -1.034     0.000
 0.1078   -0.145     0.000    -1.070     0.000
 0.1309   -0.188     0.000    -1.090     0.000
 0.1547   -0.204     0.000    -1.097     0.000
 0.1790   -0.214     0.000    -1.102     0.000
 0.2039   -0.217     0.000    -1.103     0.000
 0.2291   -0.217     0.000    -1.103     0.000
 0.2545   -0.213     0.000    -1.102     0.000
 0.2803   -0.208     0.000    -1.099     0.000
 0.3062   -0.201     0.000    -1.096     0.000
 0.3322   -0.193     0.000    -1.092     0.000
 0.3584   -0.184     0.000    -1.088     0.000
 0.3848   -0.175     0.000    -1.084     0.000
 0.4112   -0.165     0.000    -1.079     0.000
 0.4377   -0.154     0.000    -1.074     0.000
 0.4643   -0.144     0.000    -1.070     0.000
 0.4909   -0.133     0.000    -1.065     0.000
 0.5176   -0.122     0.000    -1.059     0.000
 0.5444   -0.112     0.000    -1.054     0.000
 0.5712   -0.101     0.000    -1.049     0.000
 0.5980   -0.090     0.000    -1.044     0.000
 0.6249   -0.079     0.000    -1.039     0.000
 0.6518   -0.067     0.000    -1.033     0.000
 0.6787   -0.056     0.000    -1.028     0.000
 0.7056   -0.044     0.000    -1.022     0.000
 0.7326   -0.032     0.000    -1.016     0.000
 0.7595   -0.020     0.000    -1.010     0.000
 0.7864   -0.007     0.000    -1.003     0.000
 0.8133    0.008     0.000    -0.996     0.000
 0.8402    0.024     0.000    -0.988     0.000
 0.8671    0.041     0.000    -0.979     0.000
 0.8939    0.062     0.000    -0.968     0.000
 0.9204    0.088     0.000    -0.955     0.000
 0.9461    0.120     0.000    -0.938     0.000
 0.9698    0.165     0.000    -0.914     0.000
 0.9896    0.229     0.000    -0.878     0.000
 1.0000    0.409     0.000    -0.768     0.000


