xflr5 v6.44
NACA 1112
T1_Re0.100_M0.00_N9.0
Alpha =   1.5,  Re =   100000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 1.0000    0.410     0.000     0.768     0.000
 0.9897    0.212     0.000     0.887     0.000
 0.9701    0.135     0.000     0.930     0.000
 0.9466    0.078     0.000     0.960     0.000
 0.9212    0.033     0.000     0.983     0.000
 0.8949   -0.003     0.000     1.002     0.000
 0.8684   -0.034     0.000     1.017     0.000
 0.8419   -0.062     0.000     1.031     0.000
 0.8152   -0.087     0.000     1.043     0.000
 0.7886   -0.111     0.000     1.054     0.000
 0.7619   -0.133     0.000     1.064     0.000
 0.7352   -0.154     0.000     1.074     0.000
 0.7085   -0.175     0.000     1.084     0.000
 0.6819   -0.195     0.000     1.093     0.000
 0.6552   -0.216     0.000     1.103     0.000
 0.6285   -0.236     0.000     1.112     0.000
 0.6019   -0.256     0.000     1.121     0.000
 0.5752   -0.276     0.000     1.130     0.000
 0.5486   -0.297     0.000     1.139     0.000
 0.5221   -0.318     0.000     1.148     0.000
 0.4956   -0.339     0.000     1.157     0.000
 0.4691   -0.361     0.000     1.167     0.000
 0.4427   -0.383     0.000     1.176     0.000
 0.4163   -0.406     0.000     1.186     0.000
 0.3901   -0.429     0.000     1.196     0.000
 0.3639   -0.453     0.000     1.205     0.000
 0.3378   -0.478     0.000     1.216     0.000
 0.3119   -0.503     0.000     1.226     0.000
 0.2861   -0.529     0.000     1.236     0.000
 0.2605   -0.556     0.000     1.247     0.000
 0.2351   -0.584     0.000     1.258     0.000
 0.2100   -0.613     0.000     1.270     0.000
 0.1852   -0.644     0.000     1.282     0.000
 0.1610   -0.678     0.000     1.295     0.000
 0.1375   -0.717     0.000     1.310     0.000
 0.1153   -0.765     0.000     1.329     0.000
 0.0952   -0.868     0.000     1.367     0.000
 0.0777   -0.910     0.000     1.382     0.000
 0.0622   -0.870     0.000     1.367     0.000
 0.0489   -0.804     0.000     1.343     0.000
 0.0379   -0.715     0.000     1.309     0.000
 0.0290   -0.611     0.000     1.269     0.000
 0.0218   -0.495     0.000     1.223     0.000
 0.0161   -0.368     0.000     1.170     0.000
 0.0116   -0.225     0.000     1.107     0.000
 0.0079   -0.063     0.000     1.031     0.000
 0.0051    0.120     0.000     0.938     0.000
 0.0029    0.330     0.000     0.819     0.000
 0.0013    0.556     0.000     0.667     0.000
 0.0004    0.773     0.000     0.476     0.000
 0.0000    0.934     0.000     0.257     0.000
 0.0002    1.000     0.000     0.011     0.000
 0.0010    0.935     0.000    -0.254     0.000
 0.0025    0.753     0.000    -0.497     0.000
 0.0048    0.537     0.000    -0.681     0.000
 0.0079    0.354     0.000    -0.804     0.000
 0.0117    0.221     0.000    -0.883     0.000
 0.0163    0.131     0.000    -0.932     0.000
 0.0220    0.074     0.000    -0.962     0.000
 0.0292    0.040     0.000    -0.980     0.000
 0.0383    0.022     0.000    -0.989     0.000
 0.0502    0.014     0.000    -0.993     0.000
 0.0658    0.007     0.000    -0.996     0.000
 0.0856   -0.008     0.000    -1.004     0.000
 0.1078   -0.088     0.000    -1.043     0.000
 0.1309   -0.134     0.000    -1.065     0.000
 0.1547   -0.155     0.000    -1.075     0.000
 0.1790   -0.168     0.000    -1.081     0.000
 0.2039   -0.175     0.000    -1.084     0.000
 0.2291   -0.178     0.000    -1.085     0.000
 0.2545   -0.177     0.000    -1.085     0.000
 0.2803   -0.174     0.000    -1.084     0.000
 0.3062   -0.170     0.000    -1.082     0.000
 0.3322   -0.164     0.000    -1.079     0.000
 0.3584   -0.157     0.000    -1.075     0.000
 0.3848   -0.149     0.000    -1.072     0.000
 0.4112   -0.140     0.000    -1.068     0.000
 0.4377   -0.132     0.000    -1.064     0.000
 0.4643   -0.123     0.000    -1.059     0.000
 0.4909   -0.113     0.000    -1.055     0.000
 0.5176   -0.104     0.000    -1.051     0.000
 0.5444   -0.094     0.000    -1.046     0.000
 0.5712   -0.084     0.000    -1.041     0.000
 0.5980   -0.074     0.000    -1.036     0.000
 0.6249   -0.064     0.000    -1.032     0.000
 0.6518   -0.054     0.000    -1.027     0.000
 0.6787   -0.043     0.000    -1.021     0.000
 0.7056   -0.033     0.000    -1.016     0.000
 0.7326   -0.022     0.000    -1.011     0.000
 0.7595   -0.010     0.000    -1.005     0.000
 0.7864    0.003     0.000    -0.999     0.000
 0.8133    0.016     0.000    -0.992     0.000
 0.8402    0.031     0.000    -0.984     0.000
 0.8671    0.048     0.000    -0.976     0.000
 0.8939    0.068     0.000    -0.965     0.000
 0.9204    0.093     0.000    -0.953     0.000
 0.9461    0.124     0.000    -0.936     0.000
 0.9698    0.168     0.000    -0.912     0.000
 0.9896    0.231     0.000    -0.877     0.000
 1.0000    0.410     0.000    -0.768     0.000


