xflr5 v6.44
NACA 1112
T1_Re0.100_M0.00_N9.0
Alpha =   3.0,  Re =   100000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 1.0000    0.411     0.000     0.767     0.000
 0.9897    0.211     0.000     0.889     0.000
 0.9701    0.131     0.000     0.932     0.000
 0.9466    0.070     0.000     0.964     0.000
 0.9212    0.023     0.000     0.989     0.000
 0.8949   -0.017     0.000     1.008     0.000
 0.8684   -0.051     0.000     1.025     0.000
 0.8419   -0.081     0.000     1.040     0.000
 0.8152   -0.109     0.000     1.053     0.000
 0.7886   -0.135     0.000     1.065     0.000
 0.7619   -0.160     0.000     1.077     0.000
 0.7352   -0.185     0.000     1.088     0.000
 0.7085   -0.208     0.000     1.099     0.000
 0.6819   -0.232     0.000     1.110     0.000
 0.6552   -0.255     0.000     1.120     0.000
 0.6285   -0.278     0.000     1.131     0.000
 0.6019   -0.302     0.000     1.141     0.000
 0.5752   -0.326     0.000     1.151     0.000
 0.5486   -0.350     0.000     1.162     0.000
 0.5221   -0.375     0.000     1.173     0.000
 0.4956   -0.401     0.000     1.184     0.000
 0.4691   -0.427     0.000     1.195     0.000
 0.4427   -0.454     0.000     1.206     0.000
 0.4163   -0.482     0.000     1.217     0.000
 0.3901   -0.511     0.000     1.229     0.000
 0.3639   -0.541     0.000     1.242     0.000
 0.3378   -0.573     0.000     1.254     0.000
 0.3119   -0.606     0.000     1.267     0.000
 0.2861   -0.640     0.000     1.281     0.000
 0.2605   -0.677     0.000     1.295     0.000
 0.2351   -0.715     0.000     1.310     0.000
 0.2100   -0.757     0.000     1.326     0.000
 0.1852   -0.803     0.000     1.343     0.000
 0.1610   -0.854     0.000     1.362     0.000
 0.1375   -0.914     0.000     1.384     0.000
 0.1153   -0.990     0.000     1.411     0.000
 0.0952   -1.132     0.000     1.460     0.000
 0.0777   -1.213     0.000     1.487     0.000
 0.0622   -1.204     0.000     1.485     0.000
 0.0489   -1.171     0.000     1.474     0.000
 0.0379   -1.114     0.000     1.454     0.000
 0.0290   -1.043     0.000     1.429     0.000
 0.0218   -0.959     0.000     1.400     0.000
 0.0161   -0.862     0.000     1.365     0.000
 0.0116   -0.747     0.000     1.322     0.000
 0.0079   -0.608     0.000     1.268     0.000
 0.0051   -0.437     0.000     1.199     0.000
 0.0029   -0.221     0.000     1.105     0.000
 0.0013    0.040     0.000     0.980     0.000
 0.0004    0.341     0.000     0.812     0.000
 0.0000    0.628     0.000     0.610     0.000
 0.0002    0.861     0.000     0.372     0.000
 0.0010    0.989     0.000     0.103     0.000
 0.0025    0.974     0.000    -0.163     0.000
 0.0048    0.856     0.000    -0.379     0.000
 0.0079    0.711     0.000    -0.538     0.000
 0.0117    0.578     0.000    -0.649     0.000
 0.0163    0.470     0.000    -0.728     0.000
 0.0220    0.387     0.000    -0.783     0.000
 0.0292    0.323     0.000    -0.823     0.000
 0.0383    0.274     0.000    -0.852     0.000
 0.0502    0.236     0.000    -0.874     0.000
 0.0658    0.202     0.000    -0.893     0.000
 0.0856    0.165     0.000    -0.914     0.000
 0.1078    0.077     0.000    -0.961     0.000
 0.1309    0.020     0.000    -0.990     0.000
 0.1547   -0.013     0.000    -1.007     0.000
 0.1790   -0.037     0.000    -1.018     0.000
 0.2039   -0.053     0.000    -1.026     0.000
 0.2291   -0.064     0.000    -1.032     0.000
 0.2545   -0.071     0.000    -1.035     0.000
 0.2803   -0.075     0.000    -1.037     0.000
 0.3062   -0.077     0.000    -1.038     0.000
 0.3322   -0.077     0.000    -1.038     0.000
 0.3584   -0.075     0.000    -1.037     0.000
 0.3848   -0.072     0.000    -1.035     0.000
 0.4112   -0.068     0.000    -1.034     0.000
 0.4377   -0.064     0.000    -1.031     0.000
 0.4643   -0.059     0.000    -1.029     0.000
 0.4909   -0.053     0.000    -1.026     0.000
 0.5176   -0.047     0.000    -1.023     0.000
 0.5444   -0.041     0.000    -1.020     0.000
 0.5712   -0.034     0.000    -1.017     0.000
 0.5980   -0.027     0.000    -1.013     0.000
 0.6249   -0.020     0.000    -1.010     0.000
 0.6518   -0.013     0.000    -1.006     0.000
 0.6787   -0.005     0.000    -1.002     0.000
 0.7056    0.003     0.000    -0.998     0.000
 0.7326    0.012     0.000    -0.994     0.000
 0.7595    0.021     0.000    -0.989     0.000
 0.7864    0.031     0.000    -0.984     0.000
 0.8133    0.042     0.000    -0.979     0.000
 0.8402    0.055     0.000    -0.972     0.000
 0.8671    0.069     0.000    -0.965     0.000
 0.8939    0.086     0.000    -0.956     0.000
 0.9204    0.108     0.000    -0.944     0.000
 0.9461    0.137     0.000    -0.929     0.000
 0.9698    0.177     0.000    -0.907     0.000
 0.9896    0.237     0.000    -0.874     0.000
 1.0000    0.411     0.000    -0.767     0.000


