xflr5 v6.44
NACA 0012
T1_Re0.100_M0.00_N9.0
Alpha =   3.0,  Re =   100000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 1.0000    0.411     0.000     0.768     0.000
 0.9895    0.213     0.000     0.887     0.000
 0.9698    0.138     0.000     0.928     0.000
 0.9463    0.081     0.000     0.959     0.000
 0.9207    0.038     0.000     0.981     0.000
 0.8943    0.002     0.000     0.999     0.000
 0.8675   -0.030     0.000     1.015     0.000
 0.8407   -0.056     0.000     1.028     0.000
 0.8139   -0.084     0.000     1.041     0.000
 0.7872   -0.105     0.000     1.051     0.000
 0.7603   -0.129     0.000     1.063     0.000
 0.7335   -0.151     0.000     1.073     0.000
 0.7067   -0.172     0.000     1.082     0.000
 0.6799   -0.194     0.000     1.093     0.000
 0.6532   -0.214     0.000     1.102     0.000
 0.6263   -0.235     0.000     1.111     0.000
 0.5994   -0.257     0.000     1.121     0.000
 0.5725   -0.280     0.000     1.131     0.000
 0.5456   -0.301     0.000     1.140     0.000
 0.5188   -0.324     0.000     1.151     0.000
 0.4920   -0.348     0.000     1.161     0.000
 0.4653   -0.371     0.000     1.171     0.000
 0.4387   -0.398     0.000     1.182     0.000
 0.4121   -0.422     0.000     1.192     0.000
 0.3857   -0.449     0.000     1.204     0.000
 0.3592   -0.477     0.000     1.215     0.000
 0.3329   -0.505     0.000     1.227     0.000
 0.3067   -0.536     0.000     1.239     0.000
 0.2807   -0.566     0.000     1.251     0.000
 0.2549   -0.597     0.000     1.264     0.000
 0.2293   -0.633     0.000     1.278     0.000
 0.2040   -0.668     0.000     1.291     0.000
 0.1791   -0.706     0.000     1.306     0.000
 0.1547   -0.747     0.000     1.322     0.000
 0.1311   -0.790     0.000     1.338     0.000
 0.1086   -0.836     0.000     1.355     0.000
 0.0879   -0.885     0.000     1.373     0.000
 0.0697   -0.940     0.000     1.393     0.000
 0.0544   -0.990     0.000     1.411     0.000
 0.0422   -1.033     0.000     1.426     0.000
 0.0325   -1.079     0.000     1.442     0.000
 0.0248   -1.105     0.000     1.451     0.000
 0.0186   -1.116     0.000     1.455     0.000
 0.0136   -1.108     0.000     1.452     0.000
 0.0096   -1.062     0.000     1.436     0.000
 0.0063   -0.960     0.000     1.400     0.000
 0.0037   -0.775     0.000     1.332     0.000
 0.0019   -0.483     0.000     1.218     0.000
 0.0006   -0.096     0.000     1.047     0.000
 0.0001    0.316     0.000     0.827     0.000
 0.0001    0.659     0.000     0.584     0.000
 0.0006    0.896     0.000     0.323     0.000
 0.0019    0.995     0.000     0.067     0.000
 0.0037    0.976     0.000    -0.156     0.000
 0.0063    0.885     0.000    -0.339     0.000
 0.0096    0.766     0.000    -0.484     0.000
 0.0136    0.641     0.000    -0.599     0.000
 0.0186    0.522     0.000    -0.692     0.000
 0.0248    0.410     0.000    -0.768     0.000
 0.0325    0.307     0.000    -0.833     0.000
 0.0422    0.217     0.000    -0.885     0.000
 0.0544    0.134     0.000    -0.931     0.000
 0.0697    0.063     0.000    -0.968     0.000
 0.0879    0.006     0.000    -0.997     0.000
 0.1086   -0.040     0.000    -1.020     0.000
 0.1311   -0.074     0.000    -1.036     0.000
 0.1547   -0.099     0.000    -1.048     0.000
 0.1791   -0.116     0.000    -1.056     0.000
 0.2040   -0.127     0.000    -1.062     0.000
 0.2293   -0.135     0.000    -1.066     0.000
 0.2549   -0.138     0.000    -1.067     0.000
 0.2807   -0.141     0.000    -1.068     0.000
 0.3067   -0.141     0.000    -1.068     0.000
 0.3329   -0.137     0.000    -1.066     0.000
 0.3592   -0.134     0.000    -1.065     0.000
 0.3857   -0.129     0.000    -1.062     0.000
 0.4121   -0.123     0.000    -1.060     0.000
 0.4387   -0.118     0.000    -1.057     0.000
 0.4653   -0.110     0.000    -1.054     0.000
 0.4920   -0.103     0.000    -1.050     0.000
 0.5188   -0.095     0.000    -1.047     0.000
 0.5456   -0.087     0.000    -1.042     0.000
 0.5725   -0.080     0.000    -1.039     0.000
 0.5994   -0.070     0.000    -1.035     0.000
 0.6263   -0.061     0.000    -1.030     0.000
 0.6532   -0.052     0.000    -1.026     0.000
 0.6799   -0.043     0.000    -1.021     0.000
 0.7067   -0.033     0.000    -1.016     0.000
 0.7335   -0.022     0.000    -1.011     0.000
 0.7603   -0.012     0.000    -1.006     0.000
 0.7872    0.001     0.000    -0.999     0.000
 0.8139    0.013     0.000    -0.994     0.000
 0.8407    0.029     0.000    -0.985     0.000
 0.8675    0.045     0.000    -0.977     0.000
 0.8943    0.066     0.000    -0.967     0.000
 0.9207    0.091     0.000    -0.954     0.000
 0.9463    0.122     0.000    -0.937     0.000
 0.9698    0.167     0.000    -0.913     0.000
 0.9895    0.229     0.000    -0.878     0.000
 1.0000    0.411     0.000    -0.768     0.000


