xflr5 v6.44
NACA 0012
T1_Re0.100_M0.00_N9.0
Alpha =   5.0,  Re =   100000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 1.0000    0.413     0.000     0.766     0.000
 0.9895    0.211     0.000     0.888     0.000
 0.9698    0.133     0.000     0.931     0.000
 0.9463    0.071     0.000     0.964     0.000
 0.9207    0.024     0.000     0.988     0.000
 0.8943   -0.015     0.000     1.008     0.000
 0.8675   -0.051     0.000     1.025     0.000
 0.8407   -0.081     0.000     1.039     0.000
 0.8139   -0.112     0.000     1.054     0.000
 0.7872   -0.137     0.000     1.066     0.000
 0.7603   -0.164     0.000     1.079     0.000
 0.7335   -0.189     0.000     1.091     0.000
 0.7067   -0.214     0.000     1.102     0.000
 0.6799   -0.240     0.000     1.114     0.000
 0.6532   -0.265     0.000     1.125     0.000
 0.6263   -0.290     0.000     1.136     0.000
 0.5994   -0.316     0.000     1.147     0.000
 0.5725   -0.344     0.000     1.159     0.000
 0.5456   -0.370     0.000     1.170     0.000
 0.5188   -0.399     0.000     1.183     0.000
 0.4920   -0.428     0.000     1.195     0.000
 0.4653   -0.458     0.000     1.207     0.000
 0.4387   -0.491     0.000     1.221     0.000
 0.4121   -0.522     0.000     1.234     0.000
 0.3857   -0.557     0.000     1.248     0.000
 0.3592   -0.594     0.000     1.263     0.000
 0.3329   -0.631     0.000     1.277     0.000
 0.3067   -0.673     0.000     1.293     0.000
 0.2807   -0.715     0.000     1.310     0.000
 0.2549   -0.759     0.000     1.326     0.000
 0.2293   -0.810     0.000     1.345     0.000
 0.2040   -0.863     0.000     1.365     0.000
 0.1791   -0.922     0.000     1.386     0.000
 0.1547   -0.988     0.000     1.410     0.000
 0.1311   -1.060     0.000     1.435     0.000
 0.1086   -1.142     0.000     1.464     0.000
 0.0879   -1.235     0.000     1.495     0.000
 0.0697   -1.345     0.000     1.531     0.000
 0.0544   -1.457     0.000     1.567     0.000
 0.0422   -1.570     0.000     1.603     0.000
 0.0325   -1.695     0.000     1.642     0.000
 0.0248   -1.806     0.000     1.675     0.000
 0.0186   -1.909     0.000     1.706     0.000
 0.0136   -2.003     0.000     1.733     0.000
 0.0096   -2.064     0.000     1.750     0.000
 0.0063   -2.066     0.000     1.751     0.000
 0.0037   -1.964     0.000     1.722     0.000
 0.0019   -1.703     0.000     1.644     0.000
 0.0006   -1.255     0.000     1.502     0.000
 0.0001   -0.680     0.000     1.296     0.000
 0.0001   -0.110     0.000     1.054     0.000
 0.0006    0.393     0.000     0.779     0.000
 0.0019    0.754     0.000     0.496     0.000
 0.0037    0.944     0.000     0.237     0.000
 0.0063    1.000     0.000     0.016     0.000
 0.0096    0.973     0.000    -0.165     0.000
 0.0136    0.902     0.000    -0.313     0.000
 0.0186    0.811     0.000    -0.435     0.000
 0.0248    0.710     0.000    -0.539     0.000
 0.0325    0.607     0.000    -0.627     0.000
 0.0422    0.507     0.000    -0.702     0.000
 0.0544    0.410     0.000    -0.768     0.000
 0.0697    0.321     0.000    -0.824     0.000
 0.0879    0.245     0.000    -0.869     0.000
 0.1086    0.181     0.000    -0.905     0.000
 0.1311    0.129     0.000    -0.933     0.000
 0.1547    0.089     0.000    -0.954     0.000
 0.1791    0.058     0.000    -0.970     0.000
 0.2040    0.035     0.000    -0.983     0.000
 0.2293    0.016     0.000    -0.992     0.000
 0.2549    0.003     0.000    -0.999     0.000
 0.2807   -0.008     0.000    -1.004     0.000
 0.3067   -0.017     0.000    -1.008     0.000
 0.3329   -0.021     0.000    -1.010     0.000
 0.3592   -0.025     0.000    -1.012     0.000
 0.3857   -0.026     0.000    -1.013     0.000
 0.4121   -0.026     0.000    -1.013     0.000
 0.4387   -0.026     0.000    -1.013     0.000
 0.4653   -0.024     0.000    -1.012     0.000
 0.4920   -0.021     0.000    -1.011     0.000
 0.5188   -0.019     0.000    -1.009     0.000
 0.5456   -0.014     0.000    -1.007     0.000
 0.5725   -0.011     0.000    -1.006     0.000
 0.5994   -0.006     0.000    -1.003     0.000
 0.6263   -0.001     0.000    -1.000     0.000
 0.6532    0.004     0.000    -0.998     0.000
 0.6799    0.010     0.000    -0.995     0.000
 0.7067    0.017     0.000    -0.992     0.000
 0.7335    0.024     0.000    -0.988     0.000
 0.7603    0.031     0.000    -0.985     0.000
 0.7872    0.041     0.000    -0.979     0.000
 0.8139    0.049     0.000    -0.975     0.000
 0.8407    0.062     0.000    -0.969     0.000
 0.8675    0.074     0.000    -0.962     0.000
 0.8943    0.091     0.000    -0.953     0.000
 0.9207    0.112     0.000    -0.942     0.000
 0.9463    0.140     0.000    -0.928     0.000
 0.9698    0.180     0.000    -0.905     0.000
 0.9895    0.238     0.000    -0.873     0.000
 1.0000    0.413     0.000    -0.766     0.000


