xflr5 v6.44
NACA 0012
T1_Re0.100_M0.00_N9.0
Alpha =  -0.5,  Re =   100000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 1.0000    0.409     0.000     0.769     0.000
 0.9895    0.220     0.000     0.883     0.000
 0.9698    0.153     0.000     0.920     0.000
 0.9463    0.102     0.000     0.947     0.000
 0.9207    0.066     0.000     0.966     0.000
 0.8943    0.037     0.000     0.981     0.000
 0.8675    0.011     0.000     0.994     0.000
 0.8407   -0.009     0.000     1.004     0.000
 0.8139   -0.030     0.000     1.015     0.000
 0.7872   -0.045     0.000     1.022     0.000
 0.7603   -0.063     0.000     1.031     0.000
 0.7335   -0.078     0.000     1.038     0.000
 0.7067   -0.092     0.000     1.045     0.000
 0.6799   -0.108     0.000     1.052     0.000
 0.6532   -0.121     0.000     1.059     0.000
 0.6263   -0.135     0.000     1.065     0.000
 0.5994   -0.149     0.000     1.072     0.000
 0.5725   -0.164     0.000     1.079     0.000
 0.5456   -0.177     0.000     1.085     0.000
 0.5188   -0.191     0.000     1.091     0.000
 0.4920   -0.205     0.000     1.098     0.000
 0.4653   -0.219     0.000     1.104     0.000
 0.4387   -0.234     0.000     1.111     0.000
 0.4121   -0.247     0.000     1.117     0.000
 0.3857   -0.261     0.000     1.123     0.000
 0.3592   -0.275     0.000     1.129     0.000
 0.3329   -0.287     0.000     1.135     0.000
 0.3067   -0.302     0.000     1.141     0.000
 0.2807   -0.313     0.000     1.146     0.000
 0.2549   -0.324     0.000     1.151     0.000
 0.2293   -0.335     0.000     1.156     0.000
 0.2040   -0.343     0.000     1.159     0.000
 0.1791   -0.350     0.000     1.162     0.000
 0.1547   -0.354     0.000     1.164     0.000
 0.1311   -0.354     0.000     1.164     0.000
 0.1086   -0.348     0.000     1.161     0.000
 0.0879   -0.334     0.000     1.155     0.000
 0.0697   -0.315     0.000     1.147     0.000
 0.0544   -0.282     0.000     1.132     0.000
 0.0422   -0.236     0.000     1.112     0.000
 0.0325   -0.184     0.000     1.088     0.000
 0.0248   -0.111     0.000     1.054     0.000
 0.0186   -0.022     0.000     1.011     0.000
 0.0136    0.087     0.000     0.956     0.000
 0.0096    0.222     0.000     0.882     0.000
 0.0063    0.388     0.000     0.782     0.000
 0.0037    0.581     0.000     0.647     0.000
 0.0019    0.780     0.000     0.469     0.000
 0.0006    0.938     0.000     0.248     0.000
 0.0001    1.000     0.000     0.004     0.000
 0.0001    0.943     0.000    -0.239     0.000
 0.0006    0.773     0.000    -0.477     0.000
 0.0019    0.533     0.000    -0.683     0.000
 0.0037    0.289     0.000    -0.843     0.000
 0.0063    0.080     0.000    -0.959     0.000
 0.0096   -0.083     0.000    -1.041     0.000
 0.0136   -0.205     0.000    -1.098     0.000
 0.0186   -0.295     0.000    -1.138     0.000
 0.0248   -0.364     0.000    -1.168     0.000
 0.0325   -0.415     0.000    -1.190     0.000
 0.0422   -0.445     0.000    -1.202     0.000
 0.0544   -0.470     0.000    -1.212     0.000
 0.0697   -0.482     0.000    -1.218     0.000
 0.0879   -0.483     0.000    -1.218     0.000
 0.1086   -0.481     0.000    -1.217     0.000
 0.1311   -0.473     0.000    -1.214     0.000
 0.1547   -0.463     0.000    -1.209     0.000
 0.1791   -0.449     0.000    -1.204     0.000
 0.2040   -0.434     0.000    -1.197     0.000
 0.2293   -0.418     0.000    -1.191     0.000
 0.2549   -0.400     0.000    -1.183     0.000
 0.2807   -0.384     0.000    -1.177     0.000
 0.3067   -0.368     0.000    -1.169     0.000
 0.3329   -0.349     0.000    -1.161     0.000
 0.3592   -0.332     0.000    -1.154     0.000
 0.3857   -0.314     0.000    -1.146     0.000
 0.4121   -0.296     0.000    -1.139     0.000
 0.4387   -0.281     0.000    -1.132     0.000
 0.4653   -0.262     0.000    -1.124     0.000
 0.4920   -0.246     0.000    -1.116     0.000
 0.5188   -0.230     0.000    -1.109     0.000
 0.5456   -0.212     0.000    -1.101     0.000
 0.5725   -0.198     0.000    -1.094     0.000
 0.5994   -0.180     0.000    -1.086     0.000
 0.6263   -0.164     0.000    -1.079     0.000
 0.6532   -0.148     0.000    -1.072     0.000
 0.6799   -0.133     0.000    -1.064     0.000
 0.7067   -0.116     0.000    -1.056     0.000
 0.7335   -0.099     0.000    -1.048     0.000
 0.7603   -0.083     0.000    -1.040     0.000
 0.7872   -0.063     0.000    -1.031     0.000
 0.8139   -0.046     0.000    -1.023     0.000
 0.8407   -0.023     0.000    -1.011     0.000
 0.8675   -0.001     0.000    -1.001     0.000
 0.8943    0.026     0.000    -0.987     0.000
 0.9207    0.057     0.000    -0.971     0.000
 0.9463    0.095     0.000    -0.951     0.000
 0.9698    0.148     0.000    -0.923     0.000
 0.9895    0.217     0.000    -0.885     0.000
 1.0000    0.409     0.000    -0.769     0.000


