xflr5 v6.44
NACA 0012
T1_Re0.100_M0.00_N9.0
Alpha =   2.0,  Re =   100000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 1.0000    0.410     0.000     0.768     0.000
 0.9895    0.214     0.000     0.886     0.000
 0.9698    0.142     0.000     0.926     0.000
 0.9463    0.086     0.000     0.956     0.000
 0.9207    0.045     0.000     0.977     0.000
 0.8943    0.011     0.000     0.995     0.000
 0.8675   -0.019     0.000     1.009     0.000
 0.8407   -0.043     0.000     1.021     0.000
 0.8139   -0.069     0.000     1.034     0.000
 0.7872   -0.089     0.000     1.043     0.000
 0.7603   -0.111     0.000     1.054     0.000
 0.7335   -0.130     0.000     1.063     0.000
 0.7067   -0.150     0.000     1.072     0.000
 0.6799   -0.170     0.000     1.082     0.000
 0.6532   -0.188     0.000     1.090     0.000
 0.6263   -0.207     0.000     1.099     0.000
 0.5994   -0.227     0.000     1.108     0.000
 0.5725   -0.247     0.000     1.117     0.000
 0.5456   -0.266     0.000     1.125     0.000
 0.5188   -0.287     0.000     1.134     0.000
 0.4920   -0.307     0.000     1.143     0.000
 0.4653   -0.328     0.000     1.152     0.000
 0.4387   -0.351     0.000     1.162     0.000
 0.4121   -0.372     0.000     1.171     0.000
 0.3857   -0.395     0.000     1.181     0.000
 0.3592   -0.419     0.000     1.191     0.000
 0.3329   -0.442     0.000     1.201     0.000
 0.3067   -0.468     0.000     1.212     0.000
 0.2807   -0.493     0.000     1.222     0.000
 0.2549   -0.518     0.000     1.232     0.000
 0.2293   -0.546     0.000     1.243     0.000
 0.2040   -0.573     0.000     1.254     0.000
 0.1791   -0.601     0.000     1.265     0.000
 0.1547   -0.631     0.000     1.277     0.000
 0.1311   -0.660     0.000     1.289     0.000
 0.1086   -0.690     0.000     1.300     0.000
 0.0879   -0.719     0.000     1.311     0.000
 0.0697   -0.750     0.000     1.323     0.000
 0.0544   -0.773     0.000     1.332     0.000
 0.0422   -0.787     0.000     1.337     0.000
 0.0325   -0.799     0.000     1.341     0.000
 0.0248   -0.790     0.000     1.338     0.000
 0.0186   -0.764     0.000     1.328     0.000
 0.0136   -0.717     0.000     1.310     0.000
 0.0096   -0.634     0.000     1.278     0.000
 0.0063   -0.498     0.000     1.224     0.000
 0.0037   -0.293     0.000     1.137     0.000
 0.0019   -0.009     0.000     1.004     0.000
 0.0006    0.329     0.000     0.819     0.000
 0.0001    0.649     0.000     0.592     0.000
 0.0001    0.878     0.000     0.349     0.000
 0.0006    0.991     0.000     0.094     0.000
 0.0019    0.978     0.000    -0.147     0.000
 0.0037    0.876     0.000    -0.353     0.000
 0.0063    0.734     0.000    -0.516     0.000
 0.0096    0.586     0.000    -0.643     0.000
 0.0136    0.450     0.000    -0.742     0.000
 0.0186    0.328     0.000    -0.820     0.000
 0.0248    0.221     0.000    -0.883     0.000
 0.0325    0.126     0.000    -0.935     0.000
 0.0422    0.048     0.000    -0.976     0.000
 0.0544   -0.023     0.000    -1.012     0.000
 0.0697   -0.081     0.000    -1.040     0.000
 0.0879   -0.125     0.000    -1.060     0.000
 0.1086   -0.159     0.000    -1.076     0.000
 0.1311   -0.183     0.000    -1.087     0.000
 0.1547   -0.198     0.000    -1.095     0.000
 0.1791   -0.207     0.000    -1.099     0.000
 0.2040   -0.212     0.000    -1.101     0.000
 0.2293   -0.214     0.000    -1.102     0.000
 0.2549   -0.211     0.000    -1.101     0.000
 0.2807   -0.209     0.000    -1.099     0.000
 0.3067   -0.204     0.000    -1.097     0.000
 0.3329   -0.197     0.000    -1.094     0.000
 0.3592   -0.190     0.000    -1.091     0.000
 0.3857   -0.181     0.000    -1.087     0.000
 0.4121   -0.172     0.000    -1.083     0.000
 0.4387   -0.164     0.000    -1.079     0.000
 0.4653   -0.153     0.000    -1.074     0.000
 0.4920   -0.144     0.000    -1.069     0.000
 0.5188   -0.134     0.000    -1.065     0.000
 0.5456   -0.123     0.000    -1.060     0.000
 0.5725   -0.114     0.000    -1.055     0.000
 0.5994   -0.102     0.000    -1.050     0.000
 0.6263   -0.091     0.000    -1.045     0.000
 0.6532   -0.080     0.000    -1.039     0.000
 0.6799   -0.069     0.000    -1.034     0.000
 0.7067   -0.057     0.000    -1.028     0.000
 0.7335   -0.045     0.000    -1.022     0.000
 0.7603   -0.033     0.000    -1.016     0.000
 0.7872   -0.017     0.000    -1.009     0.000
 0.8139   -0.005     0.000    -1.002     0.000
 0.8407    0.014     0.000    -0.993     0.000
 0.8675    0.031     0.000    -0.984     0.000
 0.8943    0.054     0.000    -0.973     0.000
 0.9207    0.080     0.000    -0.959     0.000
 0.9463    0.114     0.000    -0.941     0.000
 0.9698    0.161     0.000    -0.916     0.000
 0.9895    0.225     0.000    -0.880     0.000
 1.0000    0.410     0.000    -0.768     0.000


