xflr5 v6.44
NACA 0012
T1_Re0.100_M0.00_N9.0
Alpha =   1.5,  Re =   100000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 1.0000    0.409     0.000     0.769     0.000
 0.9895    0.215     0.000     0.886     0.000
 0.9698    0.144     0.000     0.925     0.000
 0.9463    0.089     0.000     0.954     0.000
 0.9207    0.049     0.000     0.975     0.000
 0.8943    0.016     0.000     0.992     0.000
 0.8675   -0.013     0.000     1.007     0.000
 0.8407   -0.037     0.000     1.018     0.000
 0.8139   -0.061     0.000     1.030     0.000
 0.7872   -0.080     0.000     1.039     0.000
 0.7603   -0.102     0.000     1.050     0.000
 0.7335   -0.120     0.000     1.058     0.000
 0.7067   -0.138     0.000     1.067     0.000
 0.6799   -0.158     0.000     1.076     0.000
 0.6532   -0.175     0.000     1.084     0.000
 0.6263   -0.193     0.000     1.092     0.000
 0.5994   -0.211     0.000     1.101     0.000
 0.5725   -0.231     0.000     1.109     0.000
 0.5456   -0.248     0.000     1.117     0.000
 0.5188   -0.268     0.000     1.126     0.000
 0.4920   -0.287     0.000     1.134     0.000
 0.4653   -0.306     0.000     1.143     0.000
 0.4387   -0.328     0.000     1.152     0.000
 0.4121   -0.347     0.000     1.160     0.000
 0.3857   -0.368     0.000     1.169     0.000
 0.3592   -0.390     0.000     1.179     0.000
 0.3329   -0.411     0.000     1.188     0.000
 0.3067   -0.434     0.000     1.198     0.000
 0.2807   -0.456     0.000     1.207     0.000
 0.2549   -0.478     0.000     1.216     0.000
 0.2293   -0.503     0.000     1.226     0.000
 0.2040   -0.526     0.000     1.235     0.000
 0.1791   -0.550     0.000     1.245     0.000
 0.1547   -0.574     0.000     1.255     0.000
 0.1311   -0.597     0.000     1.264     0.000
 0.1086   -0.619     0.000     1.272     0.000
 0.0879   -0.639     0.000     1.280     0.000
 0.0697   -0.659     0.000     1.288     0.000
 0.0544   -0.669     0.000     1.292     0.000
 0.0422   -0.669     0.000     1.292     0.000
 0.0325   -0.666     0.000     1.291     0.000
 0.0248   -0.642     0.000     1.281     0.000
 0.0186   -0.600     0.000     1.265     0.000
 0.0136   -0.537     0.000     1.240     0.000
 0.0096   -0.438     0.000     1.199     0.000
 0.0063   -0.290     0.000     1.136     0.000
 0.0037   -0.080     0.000     1.039     0.000
 0.0019    0.195     0.000     0.897     0.000
 0.0006    0.503     0.000     0.705     0.000
 0.0001    0.775     0.000     0.475     0.000
 0.0001    0.947     0.000     0.231     0.000
 0.0006    1.000     0.000    -0.020     0.000
 0.0019    0.935     0.000    -0.255     0.000
 0.0037    0.797     0.000    -0.451     0.000
 0.0063    0.634     0.000    -0.605     0.000
 0.0096    0.478     0.000    -0.723     0.000
 0.0136    0.339     0.000    -0.813     0.000
 0.0186    0.220     0.000    -0.883     0.000
 0.0248    0.116     0.000    -0.940     0.000
 0.0325    0.028     0.000    -0.986     0.000
 0.0422   -0.043     0.000    -1.021     0.000
 0.0544   -0.106     0.000    -1.052     0.000
 0.0697   -0.157     0.000    -1.076     0.000
 0.0879   -0.193     0.000    -1.092     0.000
 0.1086   -0.220     0.000    -1.105     0.000
 0.1311   -0.239     0.000    -1.113     0.000
 0.1547   -0.250     0.000    -1.118     0.000
 0.1791   -0.254     0.000    -1.120     0.000
 0.2040   -0.255     0.000    -1.120     0.000
 0.2293   -0.254     0.000    -1.120     0.000
 0.2549   -0.248     0.000    -1.117     0.000
 0.2807   -0.243     0.000    -1.115     0.000
 0.3067   -0.237     0.000    -1.112     0.000
 0.3329   -0.227     0.000    -1.108     0.000
 0.3592   -0.218     0.000    -1.104     0.000
 0.3857   -0.208     0.000    -1.099     0.000
 0.4121   -0.197     0.000    -1.094     0.000
 0.4387   -0.188     0.000    -1.090     0.000
 0.4653   -0.175     0.000    -1.084     0.000
 0.4920   -0.164     0.000    -1.079     0.000
 0.5188   -0.153     0.000    -1.074     0.000
 0.5456   -0.141     0.000    -1.068     0.000
 0.5725   -0.130     0.000    -1.063     0.000
 0.5994   -0.118     0.000    -1.057     0.000
 0.6263   -0.106     0.000    -1.052     0.000
 0.6532   -0.094     0.000    -1.046     0.000
 0.6799   -0.082     0.000    -1.040     0.000
 0.7067   -0.069     0.000    -1.034     0.000
 0.7335   -0.056     0.000    -1.028     0.000
 0.7603   -0.043     0.000    -1.021     0.000
 0.7872   -0.027     0.000    -1.013     0.000
 0.8139   -0.013     0.000    -1.007     0.000
 0.8407    0.006     0.000    -0.997     0.000
 0.8675    0.025     0.000    -0.988     0.000
 0.8943    0.048     0.000    -0.976     0.000
 0.9207    0.076     0.000    -0.961     0.000
 0.9463    0.110     0.000    -0.944     0.000
 0.9698    0.158     0.000    -0.918     0.000
 0.9895    0.223     0.000    -0.881     0.000
 1.0000    0.409     0.000    -0.769     0.000


