xflr5 v6.44
NACA 0012
T1_Re0.100_M0.00_N9.0
Alpha =   4.0,  Re =   100000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 1.0000    0.412     0.000     0.767     0.000
 0.9895    0.212     0.000     0.888     0.000
 0.9698    0.135     0.000     0.930     0.000
 0.9463    0.076     0.000     0.961     0.000
 0.9207    0.031     0.000     0.985     0.000
 0.8943   -0.007     0.000     1.004     0.000
 0.8675   -0.041     0.000     1.020     0.000
 0.8407   -0.069     0.000     1.034     0.000
 0.8139   -0.098     0.000     1.048     0.000
 0.7872   -0.121     0.000     1.059     0.000
 0.7603   -0.147     0.000     1.071     0.000
 0.7335   -0.170     0.000     1.082     0.000
 0.7067   -0.193     0.000     1.092     0.000
 0.6799   -0.217     0.000     1.103     0.000
 0.6532   -0.240     0.000     1.113     0.000
 0.6263   -0.263     0.000     1.124     0.000
 0.5994   -0.287     0.000     1.134     0.000
 0.5725   -0.312     0.000     1.146     0.000
 0.5456   -0.335     0.000     1.156     0.000
 0.5188   -0.362     0.000     1.167     0.000
 0.4920   -0.388     0.000     1.178     0.000
 0.4653   -0.415     0.000     1.189     0.000
 0.4387   -0.445     0.000     1.202     0.000
 0.4121   -0.472     0.000     1.213     0.000
 0.3857   -0.503     0.000     1.226     0.000
 0.3592   -0.536     0.000     1.239     0.000
 0.3329   -0.568     0.000     1.252     0.000
 0.3067   -0.604     0.000     1.267     0.000
 0.2807   -0.640     0.000     1.281     0.000
 0.2549   -0.678     0.000     1.295     0.000
 0.2293   -0.721     0.000     1.312     0.000
 0.2040   -0.764     0.000     1.328     0.000
 0.1791   -0.813     0.000     1.346     0.000
 0.1547   -0.866     0.000     1.366     0.000
 0.1311   -0.923     0.000     1.387     0.000
 0.1086   -0.987     0.000     1.410     0.000
 0.0879   -1.057     0.000     1.434     0.000
 0.0697   -1.138     0.000     1.462     0.000
 0.0544   -1.218     0.000     1.489     0.000
 0.0422   -1.294     0.000     1.515     0.000
 0.0325   -1.378     0.000     1.542     0.000
 0.0248   -1.443     0.000     1.563     0.000
 0.0186   -1.498     0.000     1.580     0.000
 0.0136   -1.536     0.000     1.593     0.000
 0.0096   -1.539     0.000     1.594     0.000
 0.0063   -1.483     0.000     1.576     0.000
 0.0037   -1.333     0.000     1.527     0.000
 0.0019   -1.048     0.000     1.431     0.000
 0.0006   -0.624     0.000     1.274     0.000
 0.0001   -0.127     0.000     1.062     0.000
 0.0001    0.329     0.000     0.819     0.000
 0.0006    0.696     0.000     0.551     0.000
 0.0019    0.921     0.000     0.282     0.000
 0.0037    0.998     0.000     0.040     0.000
 0.0063    0.974     0.000    -0.161     0.000
 0.0096    0.895     0.000    -0.324     0.000
 0.0136    0.792     0.000    -0.456     0.000
 0.0186    0.682     0.000    -0.564     0.000
 0.0248    0.573     0.000    -0.654     0.000
 0.0325    0.467     0.000    -0.730     0.000
 0.0422    0.370     0.000    -0.794     0.000
 0.0544    0.278     0.000    -0.850     0.000
 0.0697    0.197     0.000    -0.896     0.000
 0.0879    0.129     0.000    -0.933     0.000
 0.1086    0.074     0.000    -0.963     0.000
 0.1311    0.030     0.000    -0.985     0.000
 0.1547   -0.003     0.000    -1.002     0.000
 0.1791   -0.027     0.000    -1.013     0.000
 0.2040   -0.045     0.000    -1.022     0.000
 0.2293   -0.059     0.000    -1.029     0.000
 0.2549   -0.067     0.000    -1.033     0.000
 0.2807   -0.074     0.000    -1.036     0.000
 0.3067   -0.078     0.000    -1.038     0.000
 0.3329   -0.078     0.000    -1.038     0.000
 0.3592   -0.079     0.000    -1.039     0.000
 0.3857   -0.077     0.000    -1.038     0.000
 0.4121   -0.074     0.000    -1.036     0.000
 0.4387   -0.072     0.000    -1.035     0.000
 0.4653   -0.067     0.000    -1.033     0.000
 0.4920   -0.062     0.000    -1.031     0.000
 0.5188   -0.057     0.000    -1.028     0.000
 0.5456   -0.050     0.000    -1.025     0.000
 0.5725   -0.046     0.000    -1.023     0.000
 0.5994   -0.038     0.000    -1.019     0.000
 0.6263   -0.031     0.000    -1.015     0.000
 0.6532   -0.024     0.000    -1.012     0.000
 0.6799   -0.017     0.000    -1.008     0.000
 0.7067   -0.008     0.000    -1.004     0.000
 0.7335    0.000     0.000    -1.000     0.000
 0.7603    0.009     0.000    -0.995     0.000
 0.7872    0.021     0.000    -0.989     0.000
 0.8139    0.030     0.000    -0.985     0.000
 0.8407    0.045     0.000    -0.977     0.000
 0.8675    0.059     0.000    -0.970     0.000
 0.8943    0.078     0.000    -0.960     0.000
 0.9207    0.101     0.000    -0.948     0.000
 0.9463    0.130     0.000    -0.933     0.000
 0.9698    0.173     0.000    -0.909     0.000
 0.9895    0.233     0.000    -0.876     0.000
 1.0000    0.412     0.000    -0.767     0.000


