xflr5 v6.44
NACA 0012
T1_Re0.100_M0.00_N9.0
Alpha =  -1.0,  Re =   100000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 1.0000    0.409     0.000     0.769     0.000
 0.9895    0.222     0.000     0.882     0.000
 0.9698    0.155     0.000     0.919     0.000
 0.9463    0.106     0.000     0.946     0.000
 0.9207    0.071     0.000     0.964     0.000
 0.8943    0.042     0.000     0.979     0.000
 0.8675    0.018     0.000     0.991     0.000
 0.8407   -0.001     0.000     1.001     0.000
 0.8139   -0.022     0.000     1.011     0.000
 0.7872   -0.036     0.000     1.018     0.000
 0.7603   -0.053     0.000     1.026     0.000
 0.7335   -0.067     0.000     1.033     0.000
 0.7067   -0.081     0.000     1.040     0.000
 0.6799   -0.095     0.000     1.046     0.000
 0.6532   -0.108     0.000     1.052     0.000
 0.6263   -0.121     0.000     1.059     0.000
 0.5994   -0.134     0.000     1.065     0.000
 0.5725   -0.147     0.000     1.071     0.000
 0.5456   -0.159     0.000     1.076     0.000
 0.5188   -0.172     0.000     1.083     0.000
 0.4920   -0.185     0.000     1.088     0.000
 0.4653   -0.197     0.000     1.094     0.000
 0.4387   -0.211     0.000     1.100     0.000
 0.4121   -0.222     0.000     1.105     0.000
 0.3857   -0.234     0.000     1.111     0.000
 0.3592   -0.247     0.000     1.117     0.000
 0.3329   -0.257     0.000     1.121     0.000
 0.3067   -0.269     0.000     1.127     0.000
 0.2807   -0.278     0.000     1.131     0.000
 0.2549   -0.286     0.000     1.134     0.000
 0.2293   -0.294     0.000     1.138     0.000
 0.2040   -0.299     0.000     1.140     0.000
 0.1791   -0.302     0.000     1.141     0.000
 0.1547   -0.302     0.000     1.141     0.000
 0.1311   -0.296     0.000     1.138     0.000
 0.1086   -0.283     0.000     1.133     0.000
 0.0879   -0.263     0.000     1.124     0.000
 0.0697   -0.235     0.000     1.111     0.000
 0.0544   -0.193     0.000     1.092     0.000
 0.0422   -0.138     0.000     1.067     0.000
 0.0325   -0.075     0.000     1.037     0.000
 0.0248    0.006     0.000     0.997     0.000
 0.0186    0.103     0.000     0.947     0.000
 0.0136    0.218     0.000     0.884     0.000
 0.0096    0.356     0.000     0.802     0.000
 0.0063    0.519     0.000     0.694     0.000
 0.0037    0.699     0.000     0.549     0.000
 0.0019    0.869     0.000     0.362     0.000
 0.0006    0.982     0.000     0.134     0.000
 0.0001    0.987     0.000    -0.114     0.000
 0.0001    0.873     0.000    -0.357     0.000
 0.0006    0.651     0.000    -0.591     0.000
 0.0019    0.375     0.000    -0.790     0.000
 0.0037    0.114     0.000    -0.941     0.000
 0.0063   -0.097     0.000    -1.047     0.000
 0.0096   -0.254     0.000    -1.120     0.000
 0.0136   -0.366     0.000    -1.169     0.000
 0.0186   -0.444     0.000    -1.202     0.000
 0.0248   -0.500     0.000    -1.225     0.000
 0.0325   -0.538     0.000    -1.240     0.000
 0.0422   -0.555     0.000    -1.247     0.000
 0.0544   -0.568     0.000    -1.252     0.000
 0.0697   -0.569     0.000    -1.253     0.000
 0.0879   -0.560     0.000    -1.249     0.000
 0.1086   -0.549     0.000    -1.245     0.000
 0.1311   -0.535     0.000    -1.239     0.000
 0.1547   -0.518     0.000    -1.232     0.000
 0.1791   -0.499     0.000    -1.224     0.000
 0.2040   -0.479     0.000    -1.216     0.000
 0.2293   -0.460     0.000    -1.208     0.000
 0.2549   -0.439     0.000    -1.200     0.000
 0.2807   -0.420     0.000    -1.192     0.000
 0.3067   -0.401     0.000    -1.184     0.000
 0.3329   -0.380     0.000    -1.175     0.000
 0.3592   -0.361     0.000    -1.167     0.000
 0.3857   -0.341     0.000    -1.158     0.000
 0.4121   -0.322     0.000    -1.150     0.000
 0.4387   -0.304     0.000    -1.142     0.000
 0.4653   -0.284     0.000    -1.133     0.000
 0.4920   -0.266     0.000    -1.125     0.000
 0.5188   -0.249     0.000    -1.117     0.000
 0.5456   -0.230     0.000    -1.109     0.000
 0.5725   -0.214     0.000    -1.102     0.000
 0.5994   -0.196     0.000    -1.094     0.000
 0.6263   -0.179     0.000    -1.086     0.000
 0.6532   -0.162     0.000    -1.078     0.000
 0.6799   -0.145     0.000    -1.070     0.000
 0.7067   -0.127     0.000    -1.062     0.000
 0.7335   -0.110     0.000    -1.053     0.000
 0.7603   -0.092     0.000    -1.045     0.000
 0.7872   -0.072     0.000    -1.035     0.000
 0.8139   -0.054     0.000    -1.027     0.000
 0.8407   -0.030     0.000    -1.015     0.000
 0.8675   -0.007     0.000    -1.004     0.000
 0.8943    0.021     0.000    -0.990     0.000
 0.9207    0.053     0.000    -0.973     0.000
 0.9463    0.092     0.000    -0.953     0.000
 0.9698    0.146     0.000    -0.924     0.000
 0.9895    0.216     0.000    -0.885     0.000
 1.0000    0.409     0.000    -0.769     0.000


