xflr5 v6.44
NACA 1012
T1_Re0.100_M0.00_N9.0
Alpha =   4.0,  Re =   100000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 1.0000    0.413     0.000     0.766     0.000
 0.9896    0.210     0.000     0.889     0.000
 0.9699    0.129     0.000     0.933     0.000
 0.9464    0.067     0.000     0.966     0.000
 0.9209    0.018     0.000     0.991     0.000
 0.8946   -0.023     0.000     1.011     0.000
 0.8680   -0.058     0.000     1.029     0.000
 0.8414   -0.090     0.000     1.044     0.000
 0.8147   -0.119     0.000     1.058     0.000
 0.7879   -0.147     0.000     1.071     0.000
 0.7612   -0.174     0.000     1.083     0.000
 0.7345   -0.200     0.000     1.095     0.000
 0.7077   -0.225     0.000     1.107     0.000
 0.6809   -0.250     0.000     1.118     0.000
 0.6542   -0.275     0.000     1.129     0.000
 0.6275   -0.301     0.000     1.140     0.000
 0.6007   -0.326     0.000     1.152     0.000
 0.5740   -0.352     0.000     1.163     0.000
 0.5474   -0.379     0.000     1.174     0.000
 0.5208   -0.407     0.000     1.186     0.000
 0.4942   -0.435     0.000     1.198     0.000
 0.4676   -0.464     0.000     1.210     0.000
 0.4412   -0.494     0.000     1.222     0.000
 0.4147   -0.525     0.000     1.235     0.000
 0.3884   -0.558     0.000     1.248     0.000
 0.3622   -0.592     0.000     1.262     0.000
 0.3361   -0.628     0.000     1.276     0.000
 0.3101   -0.665     0.000     1.290     0.000
 0.2842   -0.705     0.000     1.306     0.000
 0.2586   -0.746     0.000     1.322     0.000
 0.2331   -0.791     0.000     1.338     0.000
 0.2080   -0.839     0.000     1.356     0.000
 0.1832   -0.891     0.000     1.375     0.000
 0.1589   -0.948     0.000     1.396     0.000
 0.1353   -1.012     0.000     1.418     0.000
 0.1127   -1.083     0.000     1.443     0.000
 0.0917   -1.164     0.000     1.471     0.000
 0.0729   -1.253     0.000     1.501     0.000
 0.0570   -1.349     0.000     1.533     0.000
 0.0442   -1.448     0.000     1.565     0.000
 0.0340   -1.547     0.000     1.596     0.000
 0.0259   -1.641     0.000     1.625     0.000
 0.0195   -1.726     0.000     1.651     0.000
 0.0143   -1.794     0.000     1.672     0.000
 0.0101   -1.832     0.000     1.683     0.000
 0.0067   -1.810     0.000     1.676     0.000
 0.0041   -1.702     0.000     1.644     0.000
 0.0021   -1.445     0.000     1.564     0.000
 0.0008   -1.029     0.000     1.424     0.000
 0.0001   -0.492     0.000     1.222     0.000
 0.0000    0.031     0.000     0.985     0.000
 0.0005    0.485     0.000     0.718     0.000
 0.0017    0.809     0.000     0.437     0.000
 0.0035    0.968     0.000     0.179     0.000
 0.0059    0.998     0.000    -0.039     0.000
 0.0091    0.953     0.000    -0.218     0.000
 0.0131    0.868     0.000    -0.363     0.000
 0.0181    0.768     0.000    -0.482     0.000
 0.0242    0.662     0.000    -0.581     0.000
 0.0319    0.558     0.000    -0.665     0.000
 0.0415    0.457     0.000    -0.737     0.000
 0.0538    0.363     0.000    -0.798     0.000
 0.0690    0.278     0.000    -0.850     0.000
 0.0872    0.206     0.000    -0.891     0.000
 0.1078    0.146     0.000    -0.924     0.000
 0.1302    0.100     0.000    -0.949     0.000
 0.1537    0.064     0.000    -0.967     0.000
 0.1780    0.037     0.000    -0.981     0.000
 0.2028    0.016     0.000    -0.992     0.000
 0.2280    0.001     0.000    -0.999     0.000
 0.2535   -0.010     0.000    -1.005     0.000
 0.2793   -0.018     0.000    -1.009     0.000
 0.3052   -0.023     0.000    -1.012     0.000
 0.3313   -0.027     0.000    -1.013     0.000
 0.3576   -0.028     0.000    -1.014     0.000
 0.3839   -0.028     0.000    -1.014     0.000
 0.4104   -0.027     0.000    -1.013     0.000
 0.4369   -0.025     0.000    -1.012     0.000
 0.4635   -0.022     0.000    -1.011     0.000
 0.4902   -0.019     0.000    -1.009     0.000
 0.5170   -0.015     0.000    -1.007     0.000
 0.5438   -0.011     0.000    -1.005     0.000
 0.5706   -0.006     0.000    -1.003     0.000
 0.5975   -0.001     0.000    -1.000     0.000
 0.6244    0.005     0.000    -0.998     0.000
 0.6513    0.010     0.000    -0.995     0.000
 0.6783    0.017     0.000    -0.992     0.000
 0.7052    0.023     0.000    -0.988     0.000
 0.7322    0.030     0.000    -0.985     0.000
 0.7591    0.038     0.000    -0.981     0.000
 0.7861    0.047     0.000    -0.976     0.000
 0.8131    0.056     0.000    -0.971     0.000
 0.8400    0.067     0.000    -0.966     0.000
 0.8669    0.080     0.000    -0.959     0.000
 0.8937    0.096     0.000    -0.951     0.000
 0.9202    0.117     0.000    -0.940     0.000
 0.9460    0.143     0.000    -0.925     0.000
 0.9697    0.182     0.000    -0.904     0.000
 0.9895    0.240     0.000    -0.872     0.000
 1.0000    0.413     0.000    -0.766     0.000


