xflr5 v6.44
NACA 1012
T1_Re0.100_M0.00_N9.0
Alpha =   2.5,  Re =   100000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 1.0000    0.411     0.000     0.768     0.000
 0.9896    0.211     0.000     0.888     0.000
 0.9699    0.133     0.000     0.931     0.000
 0.9464    0.074     0.000     0.962     0.000
 0.9209    0.028     0.000     0.986     0.000
 0.8946   -0.010     0.000     1.005     0.000
 0.8680   -0.043     0.000     1.021     0.000
 0.8414   -0.072     0.000     1.035     0.000
 0.8147   -0.098     0.000     1.048     0.000
 0.7879   -0.123     0.000     1.060     0.000
 0.7612   -0.147     0.000     1.071     0.000
 0.7345   -0.170     0.000     1.082     0.000
 0.7077   -0.193     0.000     1.092     0.000
 0.6809   -0.215     0.000     1.102     0.000
 0.6542   -0.237     0.000     1.112     0.000
 0.6275   -0.259     0.000     1.122     0.000
 0.6007   -0.281     0.000     1.132     0.000
 0.5740   -0.304     0.000     1.142     0.000
 0.5474   -0.327     0.000     1.152     0.000
 0.5208   -0.350     0.000     1.162     0.000
 0.4942   -0.374     0.000     1.172     0.000
 0.4676   -0.398     0.000     1.183     0.000
 0.4412   -0.424     0.000     1.193     0.000
 0.4147   -0.450     0.000     1.204     0.000
 0.3884   -0.476     0.000     1.215     0.000
 0.3622   -0.504     0.000     1.226     0.000
 0.3361   -0.532     0.000     1.238     0.000
 0.3101   -0.562     0.000     1.250     0.000
 0.2842   -0.593     0.000     1.262     0.000
 0.2586   -0.625     0.000     1.275     0.000
 0.2331   -0.658     0.000     1.288     0.000
 0.2080   -0.693     0.000     1.301     0.000
 0.1832   -0.730     0.000     1.315     0.000
 0.1589   -0.770     0.000     1.330     0.000
 0.1353   -0.812     0.000     1.346     0.000
 0.1127   -0.858     0.000     1.363     0.000
 0.0917   -0.906     0.000     1.381     0.000
 0.0729   -0.957     0.000     1.399     0.000
 0.0570   -1.008     0.000     1.417     0.000
 0.0442   -1.056     0.000     1.434     0.000
 0.0340   -1.098     0.000     1.448     0.000
 0.0259   -1.130     0.000     1.459     0.000
 0.0195   -1.147     0.000     1.465     0.000
 0.0143   -1.142     0.000     1.464     0.000
 0.0101   -1.103     0.000     1.450     0.000
 0.0067   -1.007     0.000     1.417     0.000
 0.0041   -0.837     0.000     1.355     0.000
 0.0021   -0.556     0.000     1.247     0.000
 0.0008   -0.177     0.000     1.085     0.000
 0.0001    0.242     0.000     0.871     0.000
 0.0000    0.601     0.000     0.632     0.000
 0.0005    0.861     0.000     0.373     0.000
 0.0017    0.987     0.000     0.112     0.000
 0.0035    0.986     0.000    -0.119     0.000
 0.0059    0.905     0.000    -0.308     0.000
 0.0091    0.789     0.000    -0.460     0.000
 0.0131    0.664     0.000    -0.579     0.000
 0.0181    0.543     0.000    -0.676     0.000
 0.0242    0.431     0.000    -0.754     0.000
 0.0319    0.328     0.000    -0.820     0.000
 0.0415    0.236     0.000    -0.874     0.000
 0.0538    0.153     0.000    -0.920     0.000
 0.0690    0.083     0.000    -0.958     0.000
 0.0872    0.025     0.000    -0.987     0.000
 0.1078   -0.019     0.000    -1.010     0.000
 0.1302   -0.052     0.000    -1.026     0.000
 0.1537   -0.076     0.000    -1.038     0.000
 0.1780   -0.093     0.000    -1.046     0.000
 0.2028   -0.104     0.000    -1.051     0.000
 0.2280   -0.112     0.000    -1.054     0.000
 0.2535   -0.115     0.000    -1.056     0.000
 0.2793   -0.116     0.000    -1.057     0.000
 0.3052   -0.116     0.000    -1.056     0.000
 0.3313   -0.113     0.000    -1.055     0.000
 0.3576   -0.109     0.000    -1.053     0.000
 0.3839   -0.105     0.000    -1.051     0.000
 0.4104   -0.099     0.000    -1.048     0.000
 0.4369   -0.093     0.000    -1.045     0.000
 0.4635   -0.086     0.000    -1.042     0.000
 0.4902   -0.079     0.000    -1.039     0.000
 0.5170   -0.072     0.000    -1.035     0.000
 0.5438   -0.064     0.000    -1.032     0.000
 0.5706   -0.056     0.000    -1.028     0.000
 0.5975   -0.048     0.000    -1.024     0.000
 0.6244   -0.040     0.000    -1.020     0.000
 0.6513   -0.032     0.000    -1.016     0.000
 0.6783   -0.023     0.000    -1.011     0.000
 0.7052   -0.014     0.000    -1.007     0.000
 0.7322   -0.004     0.000    -1.002     0.000
 0.7591    0.006     0.000    -0.997     0.000
 0.7861    0.017     0.000    -0.991     0.000
 0.8131    0.030     0.000    -0.985     0.000
 0.8400    0.043     0.000    -0.978     0.000
 0.8669    0.059     0.000    -0.970     0.000
 0.8937    0.077     0.000    -0.961     0.000
 0.9202    0.100     0.000    -0.949     0.000
 0.9460    0.130     0.000    -0.933     0.000
 0.9697    0.172     0.000    -0.910     0.000
 0.9895    0.233     0.000    -0.876     0.000
 1.0000    0.411     0.000    -0.768     0.000


