xflr5 v6.44
NACA 1012
T1_Re0.100_M0.00_N9.0
Alpha =   3.5,  Re =   100000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 1.0000    0.412     0.000     0.767     0.000
 0.9896    0.210     0.000     0.889     0.000
 0.9699    0.130     0.000     0.933     0.000
 0.9464    0.069     0.000     0.965     0.000
 0.9209    0.021     0.000     0.989     0.000
 0.8946   -0.019     0.000     1.009     0.000
 0.8680   -0.053     0.000     1.026     0.000
 0.8414   -0.084     0.000     1.041     0.000
 0.8147   -0.113     0.000     1.055     0.000
 0.7879   -0.139     0.000     1.067     0.000
 0.7612   -0.165     0.000     1.079     0.000
 0.7345   -0.190     0.000     1.091     0.000
 0.7077   -0.214     0.000     1.102     0.000
 0.6809   -0.238     0.000     1.113     0.000
 0.6542   -0.263     0.000     1.124     0.000
 0.6275   -0.287     0.000     1.134     0.000
 0.6007   -0.311     0.000     1.145     0.000
 0.5740   -0.336     0.000     1.156     0.000
 0.5474   -0.362     0.000     1.167     0.000
 0.5208   -0.388     0.000     1.178     0.000
 0.4942   -0.415     0.000     1.189     0.000
 0.4676   -0.442     0.000     1.201     0.000
 0.4412   -0.471     0.000     1.213     0.000
 0.4147   -0.500     0.000     1.225     0.000
 0.3884   -0.531     0.000     1.237     0.000
 0.3622   -0.563     0.000     1.250     0.000
 0.3361   -0.596     0.000     1.263     0.000
 0.3101   -0.631     0.000     1.277     0.000
 0.2842   -0.667     0.000     1.291     0.000
 0.2586   -0.706     0.000     1.306     0.000
 0.2331   -0.746     0.000     1.322     0.000
 0.2080   -0.790     0.000     1.338     0.000
 0.1832   -0.837     0.000     1.355     0.000
 0.1589   -0.888     0.000     1.374     0.000
 0.1353   -0.944     0.000     1.394     0.000
 0.1127   -1.007     0.000     1.417     0.000
 0.0917   -1.076     0.000     1.441     0.000
 0.0729   -1.152     0.000     1.467     0.000
 0.0570   -1.233     0.000     1.494     0.000
 0.0442   -1.314     0.000     1.521     0.000
 0.0340   -1.393     0.000     1.547     0.000
 0.0259   -1.465     0.000     1.570     0.000
 0.0195   -1.525     0.000     1.589     0.000
 0.0143   -1.568     0.000     1.602     0.000
 0.0101   -1.577     0.000     1.605     0.000
 0.0067   -1.528     0.000     1.590     0.000
 0.0041   -1.396     0.000     1.548     0.000
 0.0021   -1.126     0.000     1.458     0.000
 0.0008   -0.720     0.000     1.311     0.000
 0.0001   -0.220     0.000     1.105     0.000
 0.0000    0.248     0.000     0.867     0.000
 0.0005    0.637     0.000     0.603     0.000
 0.0017    0.892     0.000     0.329     0.000
 0.0035    0.994     0.000     0.079     0.000
 0.0059    0.983     0.000    -0.129     0.000
 0.0091    0.911     0.000    -0.298     0.000
 0.0131    0.811     0.000    -0.435     0.000
 0.0181    0.701     0.000    -0.546     0.000
 0.0242    0.592     0.000    -0.639     0.000
 0.0319    0.487     0.000    -0.716     0.000
 0.0415    0.388     0.000    -0.783     0.000
 0.0538    0.296     0.000    -0.839     0.000
 0.0690    0.216     0.000    -0.886     0.000
 0.0872    0.147     0.000    -0.923     0.000
 0.1078    0.093     0.000    -0.953     0.000
 0.1302    0.050     0.000    -0.975     0.000
 0.1537    0.018     0.000    -0.991     0.000
 0.1780   -0.006     0.000    -1.003     0.000
 0.2028   -0.023     0.000    -1.012     0.000
 0.2280   -0.036     0.000    -1.018     0.000
 0.2535   -0.045     0.000    -1.022     0.000
 0.2793   -0.050     0.000    -1.025     0.000
 0.3052   -0.054     0.000    -1.027     0.000
 0.3313   -0.055     0.000    -1.027     0.000
 0.3576   -0.055     0.000    -1.027     0.000
 0.3839   -0.053     0.000    -1.026     0.000
 0.4104   -0.051     0.000    -1.025     0.000
 0.4369   -0.048     0.000    -1.024     0.000
 0.4635   -0.044     0.000    -1.022     0.000
 0.4902   -0.039     0.000    -1.019     0.000
 0.5170   -0.034     0.000    -1.017     0.000
 0.5438   -0.029     0.000    -1.014     0.000
 0.5706   -0.023     0.000    -1.011     0.000
 0.5975   -0.017     0.000    -1.008     0.000
 0.6244   -0.010     0.000    -1.005     0.000
 0.6513   -0.004     0.000    -1.002     0.000
 0.6783    0.003     0.000    -0.998     0.000
 0.7052    0.011     0.000    -0.995     0.000
 0.7322    0.019     0.000    -0.991     0.000
 0.7591    0.027     0.000    -0.986     0.000
 0.7861    0.037     0.000    -0.981     0.000
 0.8131    0.047     0.000    -0.976     0.000
 0.8400    0.059     0.000    -0.970     0.000
 0.8669    0.073     0.000    -0.963     0.000
 0.8937    0.090     0.000    -0.954     0.000
 0.9202    0.111     0.000    -0.943     0.000
 0.9460    0.139     0.000    -0.928     0.000
 0.9697    0.179     0.000    -0.906     0.000
 0.9895    0.238     0.000    -0.873     0.000
 1.0000    0.412     0.000    -0.767     0.000


