xflr5 v6.44
NACA 1012
T1_Re0.100_M0.00_N9.0
Alpha =   5.0,  Re =   100000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 1.0000    0.415     0.000     0.765     0.000
 0.9896    0.210     0.000     0.889     0.000
 0.9699    0.127     0.000     0.934     0.000
 0.9464    0.063     0.000     0.968     0.000
 0.9209    0.012     0.000     0.994     0.000
 0.8946   -0.031     0.000     1.015     0.000
 0.8680   -0.068     0.000     1.033     0.000
 0.8414   -0.101     0.000     1.049     0.000
 0.8147   -0.133     0.000     1.064     0.000
 0.7879   -0.162     0.000     1.078     0.000
 0.7612   -0.191     0.000     1.091     0.000
 0.7345   -0.218     0.000     1.104     0.000
 0.7077   -0.246     0.000     1.116     0.000
 0.6809   -0.273     0.000     1.128     0.000
 0.6542   -0.300     0.000     1.140     0.000
 0.6275   -0.328     0.000     1.152     0.000
 0.6007   -0.356     0.000     1.164     0.000
 0.5740   -0.384     0.000     1.177     0.000
 0.5474   -0.414     0.000     1.189     0.000
 0.5208   -0.444     0.000     1.202     0.000
 0.4942   -0.475     0.000     1.214     0.000
 0.4676   -0.507     0.000     1.228     0.000
 0.4412   -0.541     0.000     1.241     0.000
 0.4147   -0.576     0.000     1.255     0.000
 0.3884   -0.613     0.000     1.270     0.000
 0.3622   -0.651     0.000     1.285     0.000
 0.3361   -0.692     0.000     1.301     0.000
 0.3101   -0.734     0.000     1.317     0.000
 0.2842   -0.780     0.000     1.334     0.000
 0.2586   -0.829     0.000     1.352     0.000
 0.2331   -0.881     0.000     1.372     0.000
 0.2080   -0.938     0.000     1.392     0.000
 0.1832   -1.001     0.000     1.414     0.000
 0.1589   -1.070     0.000     1.439     0.000
 0.1353   -1.149     0.000     1.466     0.000
 0.1127   -1.239     0.000     1.496     0.000
 0.0917   -1.342     0.000     1.530     0.000
 0.0729   -1.459     0.000     1.568     0.000
 0.0570   -1.589     0.000     1.609     0.000
 0.0442   -1.726     0.000     1.651     0.000
 0.0340   -1.868     0.000     1.693     0.000
 0.0259   -2.010     0.000     1.735     0.000
 0.0195   -2.147     0.000     1.774     0.000
 0.0143   -2.275     0.000     1.810     0.000
 0.0101   -2.376     0.000     1.837     0.000
 0.0067   -2.419     0.000     1.849     0.000
 0.0041   -2.369     0.000     1.836     0.000
 0.0021   -2.146     0.000     1.774     0.000
 0.0008   -1.722     0.000     1.650     0.000
 0.0001   -1.118     0.000     1.455     0.000
 0.0000   -0.487     0.000     1.220     0.000
 0.0005    0.103     0.000     0.947     0.000
 0.0017    0.573     0.000     0.654     0.000
 0.0035    0.857     0.000     0.378     0.000
 0.0059    0.980     0.000     0.141     0.000
 0.0091    0.997     0.000    -0.056     0.000
 0.0131    0.952     0.000    -0.218     0.000
 0.0181    0.876     0.000    -0.352     0.000
 0.0242    0.784     0.000    -0.465     0.000
 0.0319    0.685     0.000    -0.561     0.000
 0.0415    0.584     0.000    -0.645     0.000
 0.0538    0.487     0.000    -0.716     0.000
 0.0690    0.396     0.000    -0.777     0.000
 0.0872    0.316     0.000    -0.827     0.000
 0.1078    0.249     0.000    -0.866     0.000
 0.1302    0.196     0.000    -0.897     0.000
 0.1537    0.153     0.000    -0.920     0.000
 0.1780    0.120     0.000    -0.938     0.000
 0.2028    0.094     0.000    -0.952     0.000
 0.2280    0.074     0.000    -0.962     0.000
 0.2535    0.058     0.000    -0.971     0.000
 0.2793    0.046     0.000    -0.977     0.000
 0.3052    0.037     0.000    -0.981     0.000
 0.3313    0.030     0.000    -0.985     0.000
 0.3576    0.025     0.000    -0.987     0.000
 0.3839    0.022     0.000    -0.989     0.000
 0.4104    0.021     0.000    -0.990     0.000
 0.4369    0.020     0.000    -0.990     0.000
 0.4635    0.020     0.000    -0.990     0.000
 0.4902    0.021     0.000    -0.989     0.000
 0.5170    0.023     0.000    -0.988     0.000
 0.5438    0.025     0.000    -0.987     0.000
 0.5706    0.028     0.000    -0.986     0.000
 0.5975    0.031     0.000    -0.984     0.000
 0.6244    0.035     0.000    -0.983     0.000
 0.6513    0.039     0.000    -0.980     0.000
 0.6783    0.043     0.000    -0.978     0.000
 0.7052    0.048     0.000    -0.976     0.000
 0.7322    0.053     0.000    -0.973     0.000
 0.7591    0.060     0.000    -0.970     0.000
 0.7861    0.067     0.000    -0.966     0.000
 0.8131    0.075     0.000    -0.962     0.000
 0.8400    0.084     0.000    -0.957     0.000
 0.8669    0.095     0.000    -0.951     0.000
 0.8937    0.110     0.000    -0.944     0.000
 0.9202    0.128     0.000    -0.934     0.000
 0.9460    0.153     0.000    -0.920     0.000
 0.9697    0.190     0.000    -0.900     0.000
 0.9895    0.245     0.000    -0.869     0.000
 1.0000    0.415     0.000    -0.765     0.000


