xflr5 v6.44
NACA 1012
T1_Re0.100_M0.00_N9.0
Alpha =   0.0,  Re =   100000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 1.0000    0.409     0.000     0.769     0.000
 0.9896    0.215     0.000     0.886     0.000
 0.9699    0.142     0.000     0.926     0.000
 0.9464    0.088     0.000     0.955     0.000
 0.9209    0.047     0.000     0.976     0.000
 0.8946    0.014     0.000     0.993     0.000
 0.8680   -0.014     0.000     1.007     0.000
 0.8414   -0.038     0.000     1.019     0.000
 0.8147   -0.061     0.000     1.030     0.000
 0.7879   -0.081     0.000     1.040     0.000
 0.7612   -0.100     0.000     1.049     0.000
 0.7345   -0.119     0.000     1.058     0.000
 0.7077   -0.136     0.000     1.066     0.000
 0.6809   -0.154     0.000     1.074     0.000
 0.6542   -0.171     0.000     1.082     0.000
 0.6275   -0.187     0.000     1.090     0.000
 0.6007   -0.204     0.000     1.097     0.000
 0.5740   -0.221     0.000     1.105     0.000
 0.5474   -0.237     0.000     1.112     0.000
 0.5208   -0.254     0.000     1.120     0.000
 0.4942   -0.271     0.000     1.128     0.000
 0.4676   -0.288     0.000     1.135     0.000
 0.4412   -0.306     0.000     1.143     0.000
 0.4147   -0.323     0.000     1.150     0.000
 0.3884   -0.341     0.000     1.158     0.000
 0.3622   -0.358     0.000     1.165     0.000
 0.3361   -0.376     0.000     1.173     0.000
 0.3101   -0.393     0.000     1.180     0.000
 0.2842   -0.410     0.000     1.188     0.000
 0.2586   -0.427     0.000     1.195     0.000
 0.2331   -0.443     0.000     1.201     0.000
 0.2080   -0.459     0.000     1.208     0.000
 0.1832   -0.474     0.000     1.214     0.000
 0.1589   -0.487     0.000     1.219     0.000
 0.1353   -0.498     0.000     1.224     0.000
 0.1127   -0.506     0.000     1.227     0.000
 0.0917   -0.509     0.000     1.228     0.000
 0.0729   -0.506     0.000     1.227     0.000
 0.0570   -0.495     0.000     1.223     0.000
 0.0442   -0.474     0.000     1.214     0.000
 0.0340   -0.442     0.000     1.201     0.000
 0.0259   -0.395     0.000     1.181     0.000
 0.0195   -0.331     0.000     1.154     0.000
 0.0143   -0.243     0.000     1.115     0.000
 0.0101   -0.124     0.000     1.060     0.000
 0.0067    0.036     0.000     0.982     0.000
 0.0041    0.239     0.000     0.872     0.000
 0.0021    0.484     0.000     0.718     0.000
 0.0008    0.732     0.000     0.518     0.000
 0.0001    0.919     0.000     0.284     0.000
 0.0000    0.998     0.000     0.043     0.000
 0.0005    0.959     0.000    -0.202     0.000
 0.0017    0.816     0.000    -0.429     0.000
 0.0035    0.621     0.000    -0.616     0.000
 0.0059    0.427     0.000    -0.757     0.000
 0.0091    0.257     0.000    -0.862     0.000
 0.0131    0.117     0.000    -0.940     0.000
 0.0181    0.004     0.000    -0.998     0.000
 0.0242   -0.086     0.000    -1.042     0.000
 0.0319   -0.158     0.000    -1.076     0.000
 0.0415   -0.215     0.000    -1.102     0.000
 0.0538   -0.259     0.000    -1.122     0.000
 0.0690   -0.291     0.000    -1.136     0.000
 0.0872   -0.312     0.000    -1.146     0.000
 0.1078   -0.325     0.000    -1.151     0.000
 0.1302   -0.329     0.000    -1.153     0.000
 0.1537   -0.329     0.000    -1.153     0.000
 0.1780   -0.325     0.000    -1.151     0.000
 0.2028   -0.318     0.000    -1.148     0.000
 0.2280   -0.309     0.000    -1.144     0.000
 0.2535   -0.298     0.000    -1.139     0.000
 0.2793   -0.287     0.000    -1.134     0.000
 0.3052   -0.275     0.000    -1.129     0.000
 0.3313   -0.262     0.000    -1.123     0.000
 0.3576   -0.248     0.000    -1.117     0.000
 0.3839   -0.235     0.000    -1.111     0.000
 0.4104   -0.221     0.000    -1.105     0.000
 0.4369   -0.208     0.000    -1.099     0.000
 0.4635   -0.194     0.000    -1.093     0.000
 0.4902   -0.180     0.000    -1.086     0.000
 0.5170   -0.167     0.000    -1.080     0.000
 0.5438   -0.153     0.000    -1.074     0.000
 0.5706   -0.140     0.000    -1.068     0.000
 0.5975   -0.127     0.000    -1.062     0.000
 0.6244   -0.114     0.000    -1.055     0.000
 0.6513   -0.100     0.000    -1.049     0.000
 0.6783   -0.087     0.000    -1.042     0.000
 0.7052   -0.073     0.000    -1.036     0.000
 0.7322   -0.059     0.000    -1.029     0.000
 0.7591   -0.044     0.000    -1.022     0.000
 0.7861   -0.029     0.000    -1.014     0.000
 0.8131   -0.013     0.000    -1.006     0.000
 0.8400    0.005     0.000    -0.997     0.000
 0.8669    0.025     0.000    -0.987     0.000
 0.8937    0.048     0.000    -0.976     0.000
 0.9202    0.076     0.000    -0.961     0.000
 0.9460    0.110     0.000    -0.943     0.000
 0.9697    0.158     0.000    -0.918     0.000
 0.9895    0.224     0.000    -0.881     0.000
 1.0000    0.409     0.000    -0.769     0.000


