xflr5 v6.44
NACA 1012
T1_Re0.100_M0.00_N9.0
Alpha =  -1.5,  Re =   100000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 1.0000    0.409     0.000     0.769     0.000
 0.9896    0.219     0.000     0.884     0.000
 0.9699    0.149     0.000     0.922     0.000
 0.9464    0.098     0.000     0.950     0.000
 0.9209    0.061     0.000     0.969     0.000
 0.8946    0.030     0.000     0.985     0.000
 0.8680    0.005     0.000     0.997     0.000
 0.8414   -0.017     0.000     1.008     0.000
 0.8147   -0.036     0.000     1.018     0.000
 0.7879   -0.054     0.000     1.027     0.000
 0.7612   -0.071     0.000     1.035     0.000
 0.7345   -0.086     0.000     1.042     0.000
 0.7077   -0.101     0.000     1.049     0.000
 0.6809   -0.115     0.000     1.056     0.000
 0.6542   -0.129     0.000     1.063     0.000
 0.6275   -0.143     0.000     1.069     0.000
 0.6007   -0.157     0.000     1.075     0.000
 0.5740   -0.170     0.000     1.082     0.000
 0.5474   -0.183     0.000     1.088     0.000
 0.5208   -0.196     0.000     1.094     0.000
 0.4942   -0.209     0.000     1.100     0.000
 0.4676   -0.222     0.000     1.106     0.000
 0.4412   -0.235     0.000     1.111     0.000
 0.4147   -0.248     0.000     1.117     0.000
 0.3884   -0.260     0.000     1.122     0.000
 0.3622   -0.272     0.000     1.128     0.000
 0.3361   -0.283     0.000     1.133     0.000
 0.3101   -0.294     0.000     1.137     0.000
 0.2842   -0.303     0.000     1.142     0.000
 0.2586   -0.312     0.000     1.145     0.000
 0.2331   -0.319     0.000     1.149     0.000
 0.2080   -0.324     0.000     1.151     0.000
 0.1832   -0.327     0.000     1.152     0.000
 0.1589   -0.326     0.000     1.152     0.000
 0.1353   -0.321     0.000     1.149     0.000
 0.1127   -0.309     0.000     1.144     0.000
 0.0917   -0.290     0.000     1.136     0.000
 0.0729   -0.261     0.000     1.123     0.000
 0.0570   -0.221     0.000     1.105     0.000
 0.0442   -0.169     0.000     1.081     0.000
 0.0340   -0.105     0.000     1.051     0.000
 0.0259   -0.027     0.000     1.013     0.000
 0.0195    0.068     0.000     0.965     0.000
 0.0143    0.182     0.000     0.905     0.000
 0.0101    0.319     0.000     0.825     0.000
 0.0067    0.481     0.000     0.720     0.000
 0.0041    0.662     0.000     0.582     0.000
 0.0021    0.840     0.000     0.400     0.000
 0.0008    0.969     0.000     0.177     0.000
 0.0001    0.995     0.000    -0.068     0.000
 0.0000    0.903     0.000    -0.311     0.000
 0.0005    0.702     0.000    -0.546     0.000
 0.0017    0.432     0.000    -0.754     0.000
 0.0035    0.166     0.000    -0.913     0.000
 0.0059   -0.052     0.000    -1.025     0.000
 0.0091   -0.217     0.000    -1.103     0.000
 0.0131   -0.334     0.000    -1.155     0.000
 0.0181   -0.417     0.000    -1.190     0.000
 0.0242   -0.473     0.000    -1.214     0.000
 0.0319   -0.510     0.000    -1.229     0.000
 0.0415   -0.533     0.000    -1.238     0.000
 0.0538   -0.543     0.000    -1.242     0.000
 0.0690   -0.543     0.000    -1.242     0.000
 0.0872   -0.537     0.000    -1.240     0.000
 0.1078   -0.524     0.000    -1.235     0.000
 0.1302   -0.509     0.000    -1.228     0.000
 0.1537   -0.491     0.000    -1.221     0.000
 0.1780   -0.472     0.000    -1.213     0.000
 0.2028   -0.453     0.000    -1.205     0.000
 0.2280   -0.433     0.000    -1.197     0.000
 0.2535   -0.413     0.000    -1.189     0.000
 0.2793   -0.393     0.000    -1.180     0.000
 0.3052   -0.373     0.000    -1.172     0.000
 0.3313   -0.353     0.000    -1.163     0.000
 0.3576   -0.333     0.000    -1.155     0.000
 0.3839   -0.314     0.000    -1.146     0.000
 0.4104   -0.295     0.000    -1.138     0.000
 0.4369   -0.277     0.000    -1.130     0.000
 0.4635   -0.259     0.000    -1.122     0.000
 0.4902   -0.241     0.000    -1.114     0.000
 0.5170   -0.224     0.000    -1.106     0.000
 0.5438   -0.207     0.000    -1.098     0.000
 0.5706   -0.190     0.000    -1.091     0.000
 0.5975   -0.173     0.000    -1.083     0.000
 0.6244   -0.157     0.000    -1.075     0.000
 0.6513   -0.140     0.000    -1.068     0.000
 0.6783   -0.124     0.000    -1.060     0.000
 0.7052   -0.108     0.000    -1.052     0.000
 0.7322   -0.091     0.000    -1.044     0.000
 0.7591   -0.074     0.000    -1.036     0.000
 0.7861   -0.056     0.000    -1.027     0.000
 0.8131   -0.037     0.000    -1.018     0.000
 0.8400   -0.016     0.000    -1.008     0.000
 0.8669    0.006     0.000    -0.997     0.000
 0.8937    0.032     0.000    -0.984     0.000
 0.9202    0.062     0.000    -0.968     0.000
 0.9460    0.100     0.000    -0.949     0.000
 0.9697    0.151     0.000    -0.922     0.000
 0.9895    0.220     0.000    -0.883     0.000
 1.0000    0.409     0.000    -0.769     0.000


