xflr5 v6.44
NACA 1012
T1_Re0.100_M0.00_N9.0
Alpha =   2.0,  Re =   100000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 1.0000    0.410     0.000     0.768     0.000
 0.9896    0.212     0.000     0.888     0.000
 0.9699    0.135     0.000     0.930     0.000
 0.9464    0.076     0.000     0.961     0.000
 0.9209    0.032     0.000     0.984     0.000
 0.8946   -0.005     0.000     1.003     0.000
 0.8680   -0.037     0.000     1.018     0.000
 0.8414   -0.065     0.000     1.032     0.000
 0.8147   -0.091     0.000     1.045     0.000
 0.7879   -0.115     0.000     1.056     0.000
 0.7612   -0.138     0.000     1.067     0.000
 0.7345   -0.160     0.000     1.077     0.000
 0.7077   -0.182     0.000     1.087     0.000
 0.6809   -0.203     0.000     1.097     0.000
 0.6542   -0.224     0.000     1.106     0.000
 0.6275   -0.245     0.000     1.116     0.000
 0.6007   -0.266     0.000     1.125     0.000
 0.5740   -0.287     0.000     1.135     0.000
 0.5474   -0.309     0.000     1.144     0.000
 0.5208   -0.331     0.000     1.154     0.000
 0.4942   -0.353     0.000     1.163     0.000
 0.4676   -0.376     0.000     1.173     0.000
 0.4412   -0.400     0.000     1.183     0.000
 0.4147   -0.424     0.000     1.193     0.000
 0.3884   -0.449     0.000     1.204     0.000
 0.3622   -0.475     0.000     1.214     0.000
 0.3361   -0.501     0.000     1.225     0.000
 0.3101   -0.528     0.000     1.236     0.000
 0.2842   -0.556     0.000     1.247     0.000
 0.2586   -0.585     0.000     1.259     0.000
 0.2331   -0.615     0.000     1.271     0.000
 0.2080   -0.646     0.000     1.283     0.000
 0.1832   -0.678     0.000     1.295     0.000
 0.1589   -0.712     0.000     1.308     0.000
 0.1353   -0.747     0.000     1.322     0.000
 0.1127   -0.785     0.000     1.336     0.000
 0.0917   -0.824     0.000     1.350     0.000
 0.0729   -0.863     0.000     1.365     0.000
 0.0570   -0.900     0.000     1.379     0.000
 0.0442   -0.933     0.000     1.390     0.000
 0.0340   -0.958     0.000     1.399     0.000
 0.0259   -0.971     0.000     1.404     0.000
 0.0195   -0.969     0.000     1.403     0.000
 0.0143   -0.943     0.000     1.394     0.000
 0.0101   -0.883     0.000     1.372     0.000
 0.0067   -0.769     0.000     1.330     0.000
 0.0041   -0.585     0.000     1.259     0.000
 0.0021   -0.303     0.000     1.142     0.000
 0.0008    0.056     0.000     0.972     0.000
 0.0001    0.432     0.000     0.753     0.000
 0.0000    0.736     0.000     0.514     0.000
 0.0005    0.933     0.000     0.258     0.000
 0.0017    1.000     0.000     0.004     0.000
 0.0035    0.952     0.000    -0.219     0.000
 0.0059    0.841     0.000    -0.398     0.000
 0.0091    0.708     0.000    -0.540     0.000
 0.0131    0.575     0.000    -0.652     0.000
 0.0181    0.452     0.000    -0.740     0.000
 0.0242    0.341     0.000    -0.812     0.000
 0.0319    0.241     0.000    -0.871     0.000
 0.0415    0.154     0.000    -0.920     0.000
 0.0538    0.077     0.000    -0.961     0.000
 0.0690    0.013     0.000    -0.993     0.000
 0.0872   -0.038     0.000    -1.019     0.000
 0.1078   -0.077     0.000    -1.038     0.000
 0.1302   -0.106     0.000    -1.051     0.000
 0.1537   -0.125     0.000    -1.061     0.000
 0.1780   -0.138     0.000    -1.067     0.000
 0.2028   -0.146     0.000    -1.071     0.000
 0.2280   -0.150     0.000    -1.072     0.000
 0.2535   -0.151     0.000    -1.073     0.000
 0.2793   -0.150     0.000    -1.072     0.000
 0.3052   -0.147     0.000    -1.071     0.000
 0.3313   -0.142     0.000    -1.069     0.000
 0.3576   -0.137     0.000    -1.066     0.000
 0.3839   -0.131     0.000    -1.063     0.000
 0.4104   -0.123     0.000    -1.060     0.000
 0.4369   -0.116     0.000    -1.056     0.000
 0.4635   -0.108     0.000    -1.053     0.000
 0.4902   -0.100     0.000    -1.049     0.000
 0.5170   -0.091     0.000    -1.044     0.000
 0.5438   -0.082     0.000    -1.040     0.000
 0.5706   -0.073     0.000    -1.036     0.000
 0.5975   -0.064     0.000    -1.032     0.000
 0.6244   -0.055     0.000    -1.027     0.000
 0.6513   -0.045     0.000    -1.022     0.000
 0.6783   -0.036     0.000    -1.018     0.000
 0.7052   -0.026     0.000    -1.013     0.000
 0.7322   -0.015     0.000    -1.008     0.000
 0.7591   -0.004     0.000    -1.002     0.000
 0.7861    0.008     0.000    -0.996     0.000
 0.8131    0.021     0.000    -0.990     0.000
 0.8400    0.035     0.000    -0.982     0.000
 0.8669    0.052     0.000    -0.974     0.000
 0.8937    0.071     0.000    -0.964     0.000
 0.9202    0.095     0.000    -0.951     0.000
 0.9460    0.126     0.000    -0.935     0.000
 0.9697    0.169     0.000    -0.912     0.000
 0.9895    0.231     0.000    -0.877     0.000
 1.0000    0.410     0.000    -0.768     0.000


